Ship Name,Year,Location,Cause,Lives Lost,Ship Value,Cargo Value,Vessel Type
Hildur Mabel shipwreck (1914),1914,Barnegat LSS NNE 1.25 mi,Grounded,0,6000.0,300.0,Schooner
Hillsborough shipwreck (1952),1952,"Hudson Heights, NJ",Foundered,0,,,Steamship
Hillville shipwreck (unknown),Unknown,Manasquan Inlet S 3 mi,Unknown,0,,,Barge
Hind shipwreck (1822),1822,Sandy Hook,Unknown,0,,,Unknown
Hippodrome shipwreck (1886),1886,Cape May,Stranded,0,,,Barge
Hiram Abriff shipwreck (1868),1868,"Long Branch, NJ",Stranded,0,,10000.0,Bark
Holland shipwreck (1860),1860,Barnegat Inlet N 4 mi,Stranded,0,,,Bark
Holliswood shipwreck (1925),1925,"Bergen Point Light, NJ",Stranded,0,,,Steamship
Holly F Murphy shipwreck (1976),1976,Cape May E 80 mi,Burned,0,,,Motor vessel
Homeward Bound shipwreck (1879),1879,Wreck Pond LSS N 1 mi,Stranded,0,7000.0,,Bark
Honduras shipwreck (1863),1863,Old Cranberry Inlet,Stranded,0,,,Schooner
Hoopla 7 shipwreck (1982),1982,Cape May,Missing; presumed lost,1,,,Lobster boat
Hopatcong (1905) shipwreck (1905),1905,"Hoboken, NJ",Burned,0,,,Sidewheel steam
Hopatcong (1910) shipwreck (1910),1910,Sandy Hook Romer Shoal,Foundered,0,,,Ferry boat/barge
Hope #1  shipwreck (1890),1890,Sandy Hook point,Stranded,0,10000.0,,Pilot schooner
Hope (1769) shipwreck (1769),1769,Cape May,Grounded,0,,,Unknown
Hope (1868) shipwreck (1868),1868,Sandy Hook,Unknown,2,,,Schooner
Hope (1881) shipwreck (1887),1887,Sandy Hook,Unknown,3,,,Pilot boat
Hope and Polly shipwreck (1829),1829,Island Beach,Stranded,0,,,Schooner
Hope Sherwood shipwreck (1916),1916,Five Fathom Bank Lightship SE 14 mi,"Collision w/ ""Yumuri""",0,,,Schooner
Horace A Allyn shipwreck (1928),1928,Atlantic City,Foundered,0,,,Schooner - Barge
Horace Moodie shipwreck (1877),1877,Barnegat NE 20 mi,"Collision w/ ""Nellie H Benedict""",0,16000.0,1500.0,Schooner
Hornet (1777) shipwreck (1777),1777,Delaware Bay,Blown up,0,,,Sloop of war
Hornet (1883) shipwreck (1883),1883,Cape May LSS E 1 mi,Stranded,0,1000.0,,Schooner
Hornet IV shipwreck (1962),1962,Little Egg Harbor Inlet,Foundered,0,,,Drillboat
Hornsee shipwreck (1908),1908,Egg Harbor S 4 mi,Grounded,0,600000.0,150000.0,Steamship
Howard (1831) shipwreck (1831),1831,Tuckerton,Foundered,0,,,Brig
Howard (1880) shipwreck (1880),1880,Little Egg Harbor,Grounded in gale,0,800.0,240.0,Unknown
Howard A Hunt shipwreck (1877),1877,Cape May Point,Stranded,0,,,Schooner
Howard B Peck shipwreck (1895),1895,Hereford Inlet,"Struck on wreck of  ""M F Sprague""",0,20000.0,,Schooner
Howard Williams (1885) shipwreck (1885),1885,Barnegat Light E 12 mi,Collision,0,,,Schooner
Howard Williams (1888) shipwreck (1888),1888,Cape May LSS N 6 mi,Stranded,0,10000.0,450.0,Schooner
Howard Williams (1891) shipwreck (1891),1891,Absecon,Collision,0,,,Schooner
Howard Wood shipwreck (1928),1928,Absecon Light,Foundered,0,,,Barge
Howling Wind shipwreck (1855),1855,New Jersey coast,Abandoned - Waterlogged,0,,,Bark
Hudson (1843) shipwreck (1843),1843,Absecon bar,Grounded; Bilged,0,,,Schooner
Hudson (1871) shipwreck (1871),1871,Absecon,Cut away masts in gale,0,,,Ship
Hughes 137 shipwreck (1983),1983,Cape May E 300 mi,Adrift,0,,,Barge
Hulda shipwreck (1871),1871,Seven Mile Beach,Unknown,0,,,Bark
Huldy B Hall #4 shipwreck (1856),1856,Unknown,Unknown,0,,,Pilot boat
Humarock shipwreck (1914),1914,Sandy Hook,Collision w/ tug,0,7000.0,,Schooner
Humboldt shipwreck (1855),1855,Squan Beach S 5 mi,Stranded,0,,,Brig
Hunter (1779) shipwreck (1779),1779,Egg Harbor E 30 mi,Damaged by British Brig ,4,,,Schooner - privateer
Hunter (1824) shipwreck (1824),1824,Corson's Inlet,Stranded,0,,,Merchantman
Hunter (1864) shipwreck (1864),1864,Great Swamp S 2 mi,Stranded,0,,,Brig
Huntsville shipwreck (1877),1877,Little Egg Harbor Light SE 10 mi,Burned,0,,,Steamship
Hurley shipwreck (1886),1886,"Keyport, NJ",Stranded in gale,0,,,Sloop
Huron (1866) shipwreck (1866),1866,Great Egg Harbor S 2 mi,Grounded ashore,0,,,Brig
Huron (1951) shipwreck (1951),1951,NJ coast E 25 mi,Leaking in storm,0,,,Barge
Hustler shipwreck (1931),1931,"Shady Side, NJ",Burned,0,,,Steamship
Hutchinson shipwreck (1951),1951,"Port Reading, NJ",Burned,0,,,Barge
Hvoslef shipwreck (1942),1942,"Indian River Inlet, DE",Unknown,0,,,Freighter
Hygrade # 2 shipwreck (1931),1931,"Sewaren, NJ",Burned,0,,,Barge
Hygrade # 6 shipwreck (1937),1937,"Arlington, NJ",Stranded,0,,,Tanker barge
Hylton Castle shipwreck (1886),1886,Fire Island Light SE 11 mi,Foundered in gale,0,,,Freighter steam
Hyperion shipwreck (1887),1887,Absecon Inlet SSE 14 mi,Foundered,0,,,Brig
Hyperton shipwreck (1888),1888,Absecon,Collision,0,,,Barge
I Don't Know shipwreck (1879),1879,Little Egg LSS S 1.5 mi,Stranded in gale,0,,,Schooner
I Sargent shipwreck (1879),1879,Barnegat,Damaged in hurricane,0,,,Bark
Iberia (1888) shipwreck (1888),1888,"Long Beach, LI, NY E 4 mi","Collision w/ Cunard Liner ""Umbria""",0,,,Freighter
Iberia (1925) shipwreck (1925),1925,Five Fathom Bank Lightship SE 12 mi,Foundered in gale,0,60000.0,11500.0,Schooner - Barge
Ibis (1870) shipwreck (1870),1870,Cape May,Loss of foremast in gale,0,,,Schooner
Ibis (1890) shipwreck (1890),1890,Corsons Inlet bar,Stranded,0,4500.0,,Schooner - yacht
Ice King shipwreck (1913),1913,Sandy Hook,Struck submerged wreck,0,38000.0,,Tug steam
Ida (1808) shipwreck (1808),1808,Cape May,Unknown,0,,,Merchantman
Ida (1849) shipwreck (1849),1849,Barnegat Beach,Driven ashore,0,,,Schooner
Ida (1891) shipwreck (1891),1891,Absecon bar,Stranded,0,7000.0,,Yacht steam
Ida B Gibson shipwreck (1900),1900,Avalon LSS SE 5 mi,"Lost spar, in ditress",0,3000.0,3500.0,Schooner
Ida B II shipwreck (1958),1958,Shark River Inlet E 4 mi,Foundered,3,,,Yacht gas
Ida Jones shipwreck (1885),1885,Townsends Inlet,Stranded,0,,,Sloop
Ida May shipwreck (1877),1877,Cape May,Dismasted,0,,,Sloop
Ida Smith shipwreck (1870),1870,Pecks Beach,Stranded,0,,,Schooner
Idaho (1865) shipwreck (1865),1865,Barnegat Inlet N 1 mi,Stranded on Barnegat Shoals,1,,,Steamship
Idaho (1900) shipwreck (1900),1900,"Monmouth Beach, NJ",Lost main sail in gale,0,800.0,,Sloop
Illinois shipwreck (1844),1844,Absecon bar,Blown ashore,0,,,Schooner
Imogene Diverty shipwreck (1878),1878,Cape May near Cold Spring,Stranded in storm,0,7500.0,4000.0,Schooner
Imogene M Terry shipwreck (1905),1905,"Raritan Bay, NJ",Stranded,0,,,Sloop
Imperator shipwreck (1912),1912,Philadelphia,Unknown,0,,,Steamship
Imperatrice Elisabetta shipwreck (1866),1866,Long Beach Island,Stranded,0,,,Bark
Imperial shipwreck (1896),1896,Cedar Creek LSS S .75 mi,Stranded,0,14000.0,,Schooner - Barge
Independence (1777) shipwreck (1777),1777,Delaware Bay,Sank in battle,0,,,Warship
Independence (1810) shipwreck (1810),1810,Unknown,Lost,0,,,Pilot boat
Independence (1851) shipwreck (1851),1851,Squan Beach,Stranded,0,,,Sailing ship
Independence (1979) shipwreck (1979),1979,"Surf City, NJ",Stranded,0,,,Fishing boat
India Arrow shipwreck (1942),1942,Five Fathom Bank E 15 mi,Unknown,0,,,Tanker steam
Indian River Barge shipwreck (1952),1952,Avalon SE 4 mi stand pipe,Unknown,0,,,Barge
Indiana shipwreck (1838),1838,Shrewsbury Inlet,Grounded,0,,,Unknown
Indus shipwreck (1851),1851,Highlands of Naversink SE 30 mi,Fire,0,,,Brig
Industry (1771) shipwreck (1771),1771,Cape May,Stranded,0,,,Schooner
Industry (1773) shipwreck (1773),1773,Egg Harbor Inlet,Stranded,1,,,Schooner
Industry (1777) shipwreck (1777),1777,Delaware River N of Philadelphia,Stripped & burned,0,,,Schooner armed
Industry (1793) shipwreck (1793),1793,Cape May in Delaware Bay S,Unknown,0,,,Merchantman
Inez shipwreck (1870),1870,Barnegat S 65 mi,Abandoned,0,,,Bark
Interport shipwreck (1978),1978,Sandy Hook E,Hit by rogue wave,3,,,Pilot boat
Intrepid shipwreck (1846),1846,Seven Mile Beach,Grounded,0,,,Schooner
Invermay shipwreck (1915),1915,"Manatolking, NJ",Stranded,0,,,Bark
Investigator shipwreck (1887),1887,Barnegat,"Collision w/ ""S V W Simmons""",0,,,Bark
Ioannis P Goulandris shipwreck (1942),1942,Ambrose Lightship E 10 mi,"Collision w/ ""Intrepido""",0,,,Freighter
Iona shipwreck (1925),1925,Brigantine Shoal,Foundered,0,4800.0,,Motor vessel
IOU 1971 shipwreck (1951),1951,Barnegat Inlet Shoal,Sank,0,,,Cabin cruiser
Iowa shipwreck (1917),1917,Sandy Hook,Foundered,5,,,Schooner - Barge
Ira Laffrienier shipwreck (1887),1887,Ocean City LSS NE 1 mi,Stranded,0,6000.0,400.0,Schooner
Irene shipwreck (1934),1934,Barnegat Light,Unknown,0,,,Schooner - Barge
Iris shipwreck (1780),1780,Egg Harbor,Grounded,0,,,Brig
Irma-Pauline shipwreck (1951),1951,Cape May Inlet East jetty,Unknown,0,,,Motor vessel diesel
Iron Queen shipwreck (1926),1926,"Ludlams Beach, NJ",Foundered,0,,,Schooner - Barge
Ironsides shipwreck (1850),1850,New Jersey coast,Foundered in gale,8,,,Schooner
Irrawaddy shipwreck (1895),1895,Deal LSS S .75 mi,Grounded in fog,0,175000.0,125000.0,Steamer 3 masted
Irvine shipwreck (1877),1877,Sandy Hook,"Collision w/ ""Daniel Pierson""",0,,,Schooner
Irwin shipwreck (1928),1928,Between Atlantic City & Ocean City,Foundered in storm,0,18000.0,8564.0,Schooner - Barge
Isaac Bell shipwreck (1877),1877,Sandy Hook,"Collision w/ Tug ""Cyclops""",0,,,Steamship
Isaac Enslow shipwreck (1841),1841,Unknown,Unknown,0,,,Schooner
Isaac Franklin shipwreck (1841),1841,Sandy Hook,Grounded,0,,,Brig
Isaac H Tillyer shipwreck (1889),1889,"Off Barnegat, NJ","Collision w/ ""Mary A Hall""",0,20000.0,1000.0,Schooner
Isaac Hinkley shipwreck (1871),1871,"Off Barnegat, NJ",Capsized,6,,,Schooner
Isaac L Clark shipwreck (1882),1882,Sandy Hook Point,Stranded,0,15000.0,3000.0,Schooner 3 masted
Isaac Newton (1847) shipwreck (1847),1847,Perth Amboy,Wrecked,0,,400.0,Schooner
Isaac Newton (1863) shipwreck (1863),1863,"Fort Lee, NJ",Explosion; Burned,9,,,Riverboat
Isaac Oberton shipwreck (1889),1889,Townsends Inlet North bar,Stranded,0,10000.0,7000.0,Schooner 3 masted
Isaac Rich shipwreck (1874),1874,Cape May E 100 mi,"Collision w/ ""John Albert Smith""",0,,,Schooner
Isaac Webb shipwreck (1868),1868,Sandy Hook Light Outer Middle Ground ,Stranded in gale,0,,300000.0,Packet ship
Isabel shipwreck (1863),1863,Sandy Hook S,"Collision w/ ""North Star""",6,,175000.0,Steamship
Isabel B Wiley shipwreck (1918),1918,Barnegat E 70 mi,Torpedoed by U-151,0,100000.0,,Schooner 3 masted
Isabella (1850) shipwreck (1850),1850,Sandy Hook W,Unknown,6,,,Schooner
Isabella (1851) shipwreck (1851),1851,Unknown,Leaking,0,,,Brig
Isle of Pines shipwreck (1871),1871,Hereford Inlet,Collision; Damaged,0,,,Schooner
Isola shipwreck (1872),1872,Sandy Hook Point,Stranded,0,,,Brig Half
Israel J Merritt shipwreck (1874),1874,Cape May,Capsized & righted in heavy gale,0,,,Schooner
Italia shipwreck (1879),1879,Deal Beach,Stranded in snow storm,0,35000.0,,Bark
Italian Frigate shipwreck (1863),1863,"Long Branch, NJ",Unknown,0,,,Warship
Ithaca shipwreck (1922),1922,Atlantic City,Foundered,0,10000.0,,Tug steam
Ivanhoe (1890) shipwreck (1890),1890,Cape May LSS S 2 mi,Stranded,0,30000.0,,Tug steam
Ivanhoe (1893) shipwreck (1893),1893,Atlantic Highlands,"Collision w/ ""Mary A Williams""",0,20000.0,,Tug steam
Ivanhoe (1895) shipwreck (1895),1895,Sandy Hook point,Stranded,0,10000.0,,Tug steam
J & H Scull (1886) shipwreck (1886),1886,Absecon Inlet North shoal,Grounded,0,7000.0,1500.0,Schooner
J & H Scull (1892) shipwreck (1892),1892,Great Egg Harbor bar,Stranded & Leaking,0,8000.0,1000.0,Schooner
J A Hill shipwreck (1925),1925,Pecks Beach,Foundered,0,,,Barge
J A Holmes shipwreck (1917),1917,Barnegat,"Struck remains of ""Sumner""",0,,,Schooner
J and C Merritt (1871) shipwreck (1871),1871,Barnegat,Capsized,0,,,Schooner
J and C Merritt (1880) shipwreck (1880),1880,Townsends Inlet North bar,Stranded,0,1500.0,1200.0,Schooner
J and C Merritt (1881) shipwreck (1881),1881,Great Egg Harbor Inlet North side,Stranded,0,2000.0,3000.0,Schooner
J and C Merritt (1886) shipwreck (1886),1886,Barnegat Shoal,Grounded,0,1500.0,500.0,Schooner
J B King & Co # 19 shipwreck (1908),1908,Little Beach LSS SE 3.5 mi,Stranded,0,220000.0,12000.0,Schooner - Barge
J B King & Co # 20 shipwreck (1908),1908,Little Beach LSS SE 3.5 mi,Stranded,0,220000.0,12000.0,Schooner - Barge
J B Perry shipwreck (1852),1852,Delaware Capes,Capsized; Abandoned,0,,,Schooner
J B Van Dusen (1878) shipwreck (1878),1878,Brigantine Shoal,Stranded,0,,,Schooner 3 masted
J B Van Dusen (1886) shipwreck (1886),1886,Sandy Hook Romer Shoal,Stranded,0,,,Schooner 3 masted
J C Hartt shipwreck (1887),1887,Sandy Hook,"Collision w/ ""City of Brocton""",0,,,Tug steam
J C McNaughton shipwreck (1897),1897,Atlantic City,Stranded,0,9000.0,500.0,Schooner 3 masted
J C Rahning shipwreck (1864),1864,Allenhurst,Stranded,0,,,Bark
J D Burrows shipwreck (1860),1860,Barnegat Inlet NE 11.5 mi,Stranded,0,,,Schooner
J D Ingraham shipwreck (1872),1872,Absecon Light,"Collision w/ ""Eva Belle""",0,,,Schooner
J E DeBois shipwreck (1902),1902,Seabright LSS N 2 mi,Stranded,0,2000.0,,Sloop
J E Simmons shipwreck (1872),1872,Cape May,Stranded,0,,,Schooner
J F Carver shipwreck (1871),1871,Cape May,Damaged in heavy winds,0,,,Schooner
J F Farland shipwreck (1867),1867,Sandy Hook Romer Shoal,Grounded,0,,35000.0,Schooner
J F Merry shipwreck (1901),1901,Absecon Inlet,Lost,0,,,Schooner - Barge
J G Conner (A) shipwreck (1884),1884,Little Egg LSS SW .5 mi,Grounded,0,1500.0,525.0,Schooner
J G Conner (B) shipwreck (1884),1884,Cold Spring Bar South point,Grounded,0,1500.0,525.0,Schooner
J G Crate shipwreck (1893),1893,Little Egg LSS SE 1.5 mi,Grounded,0,1000.0,225.0,Schooner
J H Chadbourne shipwreck (1855),1855,Absecon bar,Grounded,0,,,Schooner
J H Holmes shipwreck (1917),1917,Barnegat Inlet Shoal,"Struck wreckage of ""Sumner""",0,,,Schooner
J Hardee shipwreck (1860),1860,Squan Inlet S 3.5 mi,Wrecked,0,,,Schooner
J Hartshorne shipwreck (1860),1860,Squan Inlet S 9 mi,Unknown,0,,,Schooner
J Henry Edmunds (1892) shipwreck (1892),1892,Five Fathoms Bank Lightship E 8 mi,"Collision w/ ""Ralph M Hayward""",0,14000.0,,Pilot schooner
J Henry Edmunds (1898) shipwreck (1898),1898,Ocean City LSS E 1.3 mi,Stranded,0,8000.0,900.0,Schooner
J Henry Edmunds (1910) shipwreck (1910),1910,Sandy Hook,"Collision w/ ""William H Taylor""",0,,,Schooner 3 masted
J Johnson shipwreck (1868),1868,Squan Beach,"Collision w/ ""Wanator""",0,12000.0,,Pilot schooner
J K Stoneback shipwreck (1861),1861,Unknown,Abandoned,0,3500.0,,Schooner
J M Hilton shipwreck (1925),1925,Harvey Cedars,"Collision w/ ""George Washington""",0,30000.0,,Motor vessel gas
J M Williams shipwreck (1846),1846,Barnegat,Grounded in gale,0,,,Schooner
J Marbs shipwreck (1848),1848,File Mile Beach,Stranded & bilged,2,,,Ship
J Martin shipwreck (1948),1948,Point Pleasant E 20 mi,Stranded,0,,,Motor vessel diesel
J Nickerson shipwreck (1883),1883,Five Fathom Bank SSE 40 mi,"Collision w/ ""S Conant""",0,,,Schooner
J Norman Riley shipwreck (1931),1931,"Sewaren, NJ",Burned,0,,,Motor vessel diesel
J P Loffland shipwreck (1857),1857,Little Egg Harbor,Stranded,0,5000.0,,Schooner
J R Bodwell shipwreck (1916),1916,Sandy Hook,Foundered and sank,0,,,Schooner
J R Curdy shipwreck (1855),1855,Lower New York Bay,Collision in gale,0,,,Schooner
J R Moffett shipwreck (1898),1898,Little Egg LSS W 1 mi,Stranded,0,2500.0,155.0,Schooner
J R Williams shipwreck (1949),1949,Unknown,Unknown,0,,,Barge
J Ricardo Jova shipwreck (1878),1878,Cape May E .75 mi,Stranded,0,,,Schooner
J S Lamson shipwreck (1915),1915,"Pensauken Creek, NJ",Burned,0,,,Steamship
J T Weeks shipwreck (1860),1860,Barnegat Inlet N 8.5 mi,Wrecked,0,,,Schooner
J Townsend shipwreck (1870),1870,Brigantine Beach,Stranded,0,,,Schooner
J V Wellington shipwreck (1886),1886,Hereford Inlet,Stranded,0,5000.0,,Schooner
J Vann shipwreck (1870),1870,Barnegat Shoal,Stranded,0,,,Schooner
J W Heath shipwreck (1852),1852,Cape May,Capsized,0,,,Schooner
J W Luce shipwreck (1889),1889,Absecon Inlet,Unknown,0,,,Sloop
J W Morris shipwreck (1873),1873,Sandy Hook Point S 1 mi,Stranded,0,6000.0,100.0,Schooner
J W Peasley shipwreck (1875),1875,Barnegat,Split sails in gale,0,,,Schooner
J W Tillett #26 shipwreck (1947),1947,Delaware River Penns Grove,"Collision w/ barge ""Maine""",0,,,Barge
J W Webster shipwreck (1864),1864,"Long Branch, NJ",Grounded,0,,,Schooner
J W Wendt shipwreck (1869),1869,Forked River NE .75 mi,Unknown,0,,,Ship
J-3 shipwreck (1933),1933,Beach Haven offshore ,Unknown,3,,,Blimp
Jabez Howes shipwreck (1884),1884,Sandy Hook NNE .75 mi,Stranded in storm,0,100000.0,200000.0,Ship
Jack Tier shipwreck (1904),1904,Barnegat Shoal,Grounded,0,,,Schooner
Jacob A Westervelt shipwreck (1858),1858,Sandy Hook E 270 mi,"Collision w/ ""Saxonia""",1,,,Pilot boat
Jacob Bell # 4 shipwreck (1841),1841,Sandy Hook,Stranded,0,,,Pilot schooner
Jacob Duryea shipwreck (1892),1892,Cape May LSS NW .5 m,Grounded in gale,0,2000.0,450.0,Schooner
Jacob E Ridgeway shipwreck (1880),1880,Sandy Hook,Damaged in hurricane,0,15000.0,26500.0,Schooner 3 masted
Jacob G Neafie shipwreck (1876),1876,Sandy Hook Lightship E 10 mi,Boiler explosion,3,,,Steamship
Jacob Hall shipwreck (1711),1711,Delaware Bay NJ side,Grounded,0,,,Sloop
Jacob Jones (1917) shipwreck (1917),1917,"Scilly Islands, England",Torpedoed by U-53,64,,,Destroyer
Jacob Jones (1942) shipwreck (1942),1942,Cape May,Torpedoed by U-578,109,,,Destroyer
Jacob M Haskell shipwreck (1918),1918,Barnegat Light SE 50 mi,Torpedoed by U-151,0,,,Schooner
Jacob Myers shipwreck (1873),1873,Barnegat Shoals,Stranded,0,,,Steamer
Jacob V Troop shipwreck (1876),1876,Townsends Inlet S 3 mi,Stranded,0,,,Bark
Jacob Vaughn shipwreck (1870),1870,Barnegat Inlet,Grounded,0,,,Schooner
Jalanta shipwreck (1959),1959,Squan Inlet S 5 mi,"Collision w/ ""Constitution"" in fog",0,,,Tanker
James A shipwreck (1973),1973,Barnegat Lightship N,Foundered,0,,,Motor vessel
James A Bayard shipwreck (1838),1838,Egg Harbor,Abandoned at sea,0,,,Schooner
James A Saunders shipwreck (1850),1850,Absecon,Stranded; Bilged,0,,,Schooner
James Andrews shipwreck (1862),1862,Barnegat Shoal,Stranded,8,,,Bark
James B Anderson shipwreck (1879),1879,Barnegat SE 8 mi,Lost sails in gale,0,,,Schooner
James B Johnson shipwreck (1890),1890,Forked River LSS S .5 m,Stranded,0,4500.0,1600.0,Schooner
James B Ogden shipwreck (1888),1888,Sandy Hook Flynns Knoll,Stranded,0,25000.0,4500.0,Schooner
James Baird shipwreck (1893),1893,Barnegat ENE 25 mi,Dismasted in gale,1,25000.0,2000.0,Schooner
James Bewley shipwreck (1867),1867,Barnegat Inlet N 6.5 mi,Stranded,0,,,Schooner
James Boyce Jr shipwreck (1886),1886,Barnegat E 45 mi,"Collision w/ ""Rebecca W Huddell""",0,,,Schooner 3 masted
James Butler shipwreck (1893),1893,Sandy Hook,Foundered,0,,,Schooner
James C Fisher shipwreck (1852),1852,Seven Mile Beach,Stranded,0,,,Schooner
James Cook shipwreck (1862),1862,Corsons Inlet bar,Stranded,0,,,Bark
James Cropper shipwreck (1832),1832,Delaware Bay entrance,Lost,0,,,Packet ship
James D Godfrey shipwreck (1878),1878,Cape May LSS E .25 mi,Stranded in ice,0,,,Schooner
James D Leary shipwreck (1905),1905,"Newark Bay, NJ",Burned,0,,,Steamship
James D Nicol shipwreck (1894),1894,Sandy Hook,Foundered,35,,,Tug steam
James E Kelsey shipwreck (1885),1885,Little Egg Harbor Inlet,Stranded,0,,,Schooner
James Emott shipwreck (1840),1840,Seven Mile Beach,Grounded,0,,,Schooner
James Fisher shipwreck (1834),1834,Barnegat Inlet,Stranded,0,,,Schooner
James Funk #22 (1863) shipwreck (1863),1863,Sandy Hook,"Collision w/ ""Union""",0,,,Pilot boat
James Funk #22 (1864) shipwreck (1864),1864,Sandy Hook,"Captured by ""Tallahasse""",0,,,Pilot boat
James Gordon Bennett #7 (1901) shipwreck (1901),1901,Scotland Lightship,"Collision w/ ""Alene""",4,,,Pilot schooner
James Gordon Bennett #9 (1893) shipwreck (1893),1893,Sea Girt LSS N .5 mi,Stranded in ice,0,12000.0,,Pilot schooner
James H Braine shipwreck (1853),1853,Absecon Beach,Stranded,0,,,Schooner
James H Gordon shipwreck (1886),1886,Cape May Point,Damaged in storm; Lost sails,0,,,Schooner
James H Hoyt shipwreck (1870),1870,Atlantic Highlands,Stranded in gale,5,,,Schooner
James H Strupe shipwreck (1861),1861,Pecks Beach,Stranded,0,,,Schooner
James Horan shipwreck (1929),1929,"Wainers, NJ",Burned,0,,,Barge
James Howard shipwreck (1927),1927,Beach Haven S .25 mi,Grounded in storm,0,,,Barge
James I Day shipwreck (1864),1864,Squan Inlet,Foundered,0,,,Schooner
James J Duffy shipwreck (1917),1917,"Shady Side, NJ","Collision w/ yacht ""United States""",0,,,Barge
James Jones shipwreck (1883),1883,Barnegat Shoal,Stranded,0,5000.0,1000.0,Schooner
James L Maloy shipwreck (1873),1873,Cape May Beach,Stranded,0,6000.0,4000.0,Schooner
James Longstreet shipwreck (1943),1943,Sandy Hook,Grounded,0,,,Freighter Liberty
James M Hall (1880) shipwreck (1880),1880,Little Egg Inlet Shoal,Stranded,0,8000.0,2000.0,Schooner
James M Hall (1888) shipwreck (1888),1888,Barnegat E 10 mi,Dismasted by lightning,0,6000.0,,Schooner
James M Hall (1906) shipwreck (1906),1906,Long Branch LSS S .5 mi,Stranded,0,2000.0,5500.0,Schooner
James M Tucker shipwreck (1918),1918,"Port Reading, NJ",Foundered,0,,,Canal boat
James M Vandervorse shipwreck (1878),1878,Little Egg Harbor LSS N 1 mi,Grounded,0,3500.0,240.0,Schooner
James M Williams shipwreck (1846),1846,Barnegat Light S 4 mi,Stranded in gale,0,,,Schooner
James Nelson shipwreck (1875),1875,Barnegat Inlet N 1 mi,"Struck submerged wreck of ""Idaho""",0,1000.0,,Sloop
James O'Donnell shipwreck (1950),1950,South Amboy Coal Docks,Burned,0,,,Barge
James Orr shipwreck (1851),1851,New Inlet Bar,Grounded,0,,,Brig
James P Ward shipwreck (1930),1930,"Edgewater, NJ",Stranded,0,,,Canal boat
James Ponder shipwreck (1897),1897,"Cobbs Island, VA",Stranded,0,2000.0,1200.0,Schooner
James R Clements shipwreck (1878),1878,Deal Beach,Grounded,0,4000.0,1300.0,Schooner
James R Talbot shipwreck (1886),1886,Barnegat S,Damaged in gale,0,,,Schooner 3 masted
James S Hewitt shipwreck (1880),1880,Atlantic City LSS N .25 mi,Stranded,0,,,Schooner
James Turpie shipwreck (1899),1899,Brigantine Shoal,Stranded in fog,0,50000.0,100000.0,Steamship
James Veldran shipwreck (1881),1881,Absecon Inlet,"Collision w/ ""Hannah M Buell""",0,,1100.0,Unknown
James W Drury (1882) shipwreck (1882),1882,Townsends Inlet E 1 mi,Stranded in storm,0,25000.0,700.0,Schooner 3 masted
James W Drury (1885) shipwreck (1885),1885,Cold Spring LSS WSW .5 mi,Stranded ,0,30000.0,3000.0,Schooner 3 masted
James W Elwell (1875) shipwreck (1875),1875,Barnegat N 5 mi,Grounded,0,15000.0,,Pilot boat
James W Elwell (1916) shipwreck (1916),1916,"Monmouth Beach, Long Branch",In distress,0,35000.0,,Schooner
James W Lee (1887) shipwreck (1887),1887,Barnegat Shoal,Grounded,0,700.0,100.0,Schooner
James W Lee (1888) shipwreck (1888),1888,Hereford Inlet LSS NE .5 mi,Stranded after dragging anchor,0,800.0,,Schooner
James W Lee (1890) shipwreck (1890),1890,Hereford Inlet LSS N .5 mi,Grounded,0,700.0,,Schooner
James W Lee (1891) shipwreck (1891),1891,Corsons Inlet LSS SW 1 mi,Stranded,0,700.0,,Schooner
James W Lee (1894) shipwreck (1894),1894,Barnegat Inlet,Grounded in gale,0,700.0,,Schooner
James W Lee (1899) shipwreck (1899),1899,Turtle Gut LSS SSW 1 3/4 mi,Stranded,0,700.0,,Schooner
James W Lee (1900) shipwreck (1900),1900,Corsons Inlet SSW 2.25 mi,Stranded,0,700.0,400.0,Schooner
James W Lee (1901) shipwreck (1901),1901,Little Egg Inlet Middle Ground,Grounded,0,900.0,,Schooner
James W Lee (1909) shipwreck (1909),1909,Barnegat Inlet LSS N 1/4 mi,Grounded,0,800.0,600.0,Schooner
James Watt shipwreck (1870),1870,"Hoboken, NJ",Burned,0,,,Unknown
Jane (1749) shipwreck (1749),1749,Sandy Hook,Stranded in ice,0,,,Scow
Jane (1808) shipwreck (1808),1808,Cape May,Parted cables,0,,,Schooner
Jane (1873) shipwreck (1873),1873,Sandy Hook,Unknown,0,,,Pilot boat
Jane C Doughty shipwreck (1858),1858,Unknown,Lost,0,3000.0,,Schooner
Jane Henderson shipwreck (1853),1853,Hereford Inlet,Abandoned,0,,,Schooner
Janie T Lewis shipwreck (1903),1903,Atlantic City LSS E .25 mi,Stranded in storm,0,1500.0,600.0,Schooner
Jason shipwreck (1875),1875,Little Egg Harbor shoal,Grounded,0,2500.0,2400.0,Schooner
Jasper shipwreck (1856),1856,Cape May Joe Flogger Shoal,Stranded,0,,,Schooner
Java shipwreck (1856),1856,Sandy Hook West Bank,Stranded,2,,,Ship
Jay Bee II shipwreck (unknown),Unknown,Unknown,Foundered,0,,,Motor vessel gas
Jean shipwreck (1928),1928,"Gas Buoy, NJ","Collision w/ ""City of Glasgow""",0,,,Schooner
