Ship Name,Year,Location,Cause,Lives Lost,Ship Value,Cargo Value,Vessel Type
Albert H Waite (1885) shipwreck (1885),1885,Barnegat Inlet SE 25 mi,Foundered in gale,0,,,Schooner
Albert H Waite (1887) shipwreck (1887),1887,At sea,Foundered; Abandoned,0,,,Schooner
Albert Mason shipwreck (1891),1891,Holly Beach SE 4 mi,In distress,0,8000.0,2000.0,Schooner
Albert Vinal shipwreck (1852),1852,Sandy Hook E 40 mi,Foundered in gale,0,,,Schooner
Albert W Smith shipwreck (1894),1894,Squan Beach NE .25 mi,Stranded,8,12000.0,3500.0,Schooner
Alberta shipwreck (1911),1911,Little Egg Harbor S 1 mi,Grounded,0,3000.0,640.0,Schooner
Albertine Meyer shipwreck (1884),1884,Barnegat LSS SE .5 mi,Stranded,0,10000.0,40000.0,Brig
Albion (1839) shipwreck (1839),1839,Cape May,Stranded,0,,,Brig
Albion (1847) shipwreck (1847),1847,Sandy Hook,Stranded,0,,,Schooner
Albion (1857) shipwreck (1857),1857,Sandy Hook,Stranded,0,3000.0,,Schooner
Alert (1901) shipwreck (1901),1901,Barnegat LSS E 2 mi,Struck submerged object,0,6000.0,,Sloop
Alert (1929) shipwreck (1928),1928,Highlands Light,Foundered,0,,,Motor vessel diesel
Alert (1935) shipwreck (1935),1935,Sandy Hook,Collision w/ scow,0,,,Trawler
Alexander shipwreck (2008),2008,Great Egg Inlet SE 33 mi,"Flooded, sank",0,250000.0,,Commercial Fishing vessel
Alexander Gibson shipwreck (1915),1915,Cape May McCrie Shoal,Stranded,0,,,Schooner - Barge
Alexander II shipwreck (2009),2009,Cape May SE 86 mi,Attempted Sinking,0,250.0,,Commercial Fishing vessel
Alexander Wiley shipwreck (1878),1878,Little Egg Harbor LSS S 1 mi,Stranded,0,3000.0,,Schooner
Alfred & Charles shipwreck (1838),1838,Cape May,Grounded in gale,0,,,Sloop
Alfred C Harmer shipwreck (1897),1897,Little Egg LSS E 1.75 mi,Stranded,0,1000.0,50.0,Sloop
Alfred Hall shipwreck (1871),1871,Little Egg Harbor,Stranded,6,,,Schooner
Alfred W. Fiske shipwreck (1872),1872,Brigantine Beach,Stranded,0,25000.0,25000.0,Schooner 3 masted
Algoma shipwreck (1889),1889,Long Beach LSS N .5 mi,Stranded,0,8000.0,,Ship
Alias shipwreck (1939),1939,"North Bergen, NJ",Fire,0,,,Motor vessel
Alice (1840) shipwreck (1840),1840,Highland Light E 3 mi,Stranded,0,,,Brig
Alice (1841) shipwreck (1841),1841,Highlands Light N,Stranded,0,,,Schooner
Alice (1867) shipwreck (1867),1867,Sandy Hook,Stranded,0,,,Brig
Alice (1879) shipwreck (1879),1879,Absecon SSE 35 mi,"Collision w/ ""San Miguel""",0,,,Bark
Alice (1893) shipwreck (1893),1893,Long Beach LSS S 1.75 mi,Ran aground in fog,4,15000.0,,Bark
Alice (1946) shipwreck (1946),1946,Hereford Inlet S 1 mi,Unknown,0,,,Motor vessel
Alice B (1889) shipwreck (1889),1889,Hereford Inlet North bar,Stranded,0,4000.0,5000.0,Schooner
Alice B (1890) shipwreck (1890),1890,Absecon,Collision,0,,,Schooner
Alice Belle shipwreck (1896),1896,Ocean City LSS E 1.25 mi,Stranded,0,3500.0,800.0,Schooner
Alice Hearn shipwreck (1882),1882,Sandy Hook,Heavy Gale,0,20000.0,2200.0,Schooner
Alice L Pearce shipwreck (1876),1876,Unknown,Stranded,0,5000.0,6000.0,Schooner
Alice Lee shipwreck (1859),1859,Squan Inlet S 2 mi,Stranded,0,,,Schooner
Alice M Lewis shipwreck (1879),1879,Townsends Inlet North bar,Stranded,0,4000.0,1500.0,Schooner
Alice M Ridgway (1868) shipwreck (1868),1868,Cape May Fishing Creek,Stranded; Capsized,4,1600.0,,Schooner
Alice M Ridgway (1877) shipwreck (1877),1877,Cold Spring Inlet South bar,Stranded,0,1600.0,160.0,Schooner
Alice Ridgway (1888) shipwreck (1888),1888,Little Egg LSS N .25 mi,Stranded,0,800.0,125.0,Sloop
Alice Ridgway (1897) shipwreck (1897),1897,"Billingsport, NJ",Struck on jetty,0,800.0,50.0,Sloop
Alice Starratt shipwreck (1874),1874,Sandy Hook SExE 90 mi,Disabled,0,,,Brig Half
Alicia B Crosby shipwreck (1911),1911,Avalon LSS ENE 1.5 mi,Stranded,0,50000.0,,Schooner
Alida A Smith shipwreck (1886),1886,Hereford Inlet South bar,Stranded,0,6.0,1600.0,Brig
