Vessel Name,Date of Wreck,Event,Location of wreck,Tonnage,Length (FT),Breadth (FT),depth (ft),Masts,Decks,Hull,Description,Story,Vessel Type,Type of event,Nature of Event,Cause of Event,Cargo,Lives Lost,Voyage from,Voyage To,Remarks,Built At,Date Built,Official Number,Registered at,Date Registered,Propulsion,Rig,Details
Judith Irene - 1965,1965-01-13,Wrecked,"Lat. 43 38` N, Long. 65 24` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Robertson Iii - 1962,1962-04-20,Sank,"Lat. 43 35` 03˜N, Long. 63 15˜W",,,,,,,,,,,,,,,,,,,,,,,,,,
Reindeer I - 1932,1932-03-12,Foundered,"Lat. 43 34` N, Long. 62 43` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Jean & Shirley - 1941,1941-12-01,Collision,"Lat. 43 32` N, Long. 64 13` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia Seahawk - 1964,1964-12-02,Sank,"Lat. 43 30` N, Long. 61 10` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Anita - 1878,1878-10-13,Abandoned,"Lat. 43 28` N, Long. 61 56` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Scotsburn - 1922,1922-05-19,Foundered,"Lat. 43 20`N, Long. 66 45`W",,,,,,,,,,,,,,,,,,,,,,,,,,
Sunner - 1928,1928-03-09,Foundered,"Lat. 43 16`N, Long. 60 37`W",,,,,,,,,,,,,,,,,,,,,,,,,,
Mahaska - 1929,1929-03-22,Collision,"Lat. 43 12` N, Long. 61 42` W",,,,,,,,,,,,,,,,,,,,,,,,,,
W. J. Starkie - 1873,1873-08-25,Abandoned,"Lat. 43 10` N, Long. 61 58` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Maureen Rose - 1965,1965-10-19,Wrecked,"Lat. 43 05` N, Long. 64 30` W",,,,,,,,,,,,,,,,,,,,,,,,,,
John Good - 1876,1876-12-10,Foundered,"Lat. 43 0` N, Long. 64 30` W",,,,,,,,,,,,,,,,,,,,,,,,,,
N. & E. Gardner - 1870,1870-09-19,Serious damage,"Lat. 42.55 N, 63.23 W",,,,,,,,,,,,,,,,,,,,,,,,,,
Keewatin - 1880,1880-03-29,Collision,"Lat. 42 N, Long. 66 W",,,,,,,,,,,,,,,,,,,,,,,,,,
Calista Haws - 1881,1881-09-27,Abandoned,"Lat. 42 N, Long. 65 48` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Westgate - 1920,1920-04-20,Abandoned,"Lat. 42 N, Long. 65 30` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Minnie Bruce - 1874,1874-02-27,Abandoned,"Lat. 42 49` N, Long. 60 32` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Advent - 1916,1916-02-26,Foundered,"Lat. 42 48`N, Long. 62 52`W",,,,,,,,,,,,,,,,,,,,,,,,,,
Helen Hasbrook - 1916,1916-10-16,Foundered,"Lat. 42 28`N, Long. 65 07`W",,,,,,,,,,,,,,,,,,,,,,,,,,
Marion C. - 1906,1906-11-05,Foundered,"Lat. 42 18` N, Long. 67 20` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Vernon - 1873,1873-08-24,Missing,"Lat. 42 17` N, Long. 64 6` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Elsie Cronan - 1887,1887-03-31,Foundered,"Lat. 41 N, Long. 64 W",,,,,,,,,,,,,,,,,,,,,,,,,,
Maid Of La Have - 1920,1920-01-01,Foundered,"Lat. 41 N, Long. 60 21` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Josie - 1905,1905-02-16,Abandoned,"Lat. 41 58` N, Long. 62 50` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Anne - 1965,1965-02-22,Wrecked,"Lat. 41 57` N, Long. 66 41` W",,,,,,,,,,,,,,,,,,,,,,,,,,
J. M. S. - 1882,1882-01-01,Dismasted,"Lat. 41 57` N, Long. 65 15` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Maria - 1875,1875-01-03,Damaged at sea,"Lat. 41 50` N, Long. 63 10` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Murray - 1891,1891-10-13,Capsized,"Lat. 41 45` N, Long. 62 15` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Linda - 1873,1873-02-12,Abandoned,"Lat. 41 44` N, Long. 63 54` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Aegir - 1961,1961-12-15,Sank,"Lat. 41 42` N, Long. 66 14` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Lora Grace Peters - 1947,1947-05-29,Collision,"Lat. 41 41` N, Long. 66 46` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Rockwood Park - 1947,1947-05-29,Collision,"Lat. 41 41` N, Long. 66 46` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Excellence - 1964,1964-10-11,Wrecked,"Lat. 41 30` N, Long. 65 58` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Gladiator - 1880,1880-01-01,Capsized,"Lat. 41 24` N, Long. 63 24` W",,,,,,,,,,,,,,,,,,,,,,,,,,
E. C. Adams - 1935,1935-12-14,Foundered,"Lat. 40 55` N, Long. 66 20` W",,,,,,,,,,,,,,,,,,,,,,,,,,
James W. - 1904,1904-02-15,Abandoned,"Lat. 40 40` N, Long. 64 50` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Minerva - 1876,1876-01-01,Abandoned,"Lat. 40 20` N, Long. 66 17` W",,,,,,,,,,,,,,,,,,,,,,,,,,
G. W. Powsland - 1879,1879-01-03,Foundered,"Lat. 40 20` N, Long. 65 30` W",,,,,,,,,,,,,,,,,,,,,,,,,,
River Meander - 1912,1912-11-30,Foundered,"Lat. 39 59`N, Long. 63 40`W",,,,,,,,,,,,,,,,,,,,,,,,,,
Orel - 1959,1959-03-31,Sank,"Lat 46 50` N, Long. 58 40` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Neversink - 1878,1878-08-22,Foundered,"Lat 45 48` N, Long. 59 26` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Afghan Prince - 1918,1918-07-30,Stranded,"Lat 45 46`N, Long. 60 04`W",,,,,,,,,,,,,,,,,,,,,,,,,,
Halfish - 1966,1966-10-15,Sank,Lat 44 31` 05,,,,,,,,,,,,,,,,,,,,,,,,,,
Jannine T. - 1963,1963-04-08,Swamped,"Lat 43 25` N, Long. 61 50` W",,,,,,,,,,,,,,,,,,,,,,,,,,
Annabel Cameron - 1926,1926-12-06,Foundered,"Lat 41 53`N, Long. 66 36`W",,,,,,,,,,,,,,,,,,,,,,,,,,
Harmony - 1887,1887-09-27,Stranded,"Lake Advice, near",,,,,,,,,,,,,,,,,,,,,,,,,,
B. C. Borden - 1900,1900-12-11,Wrecked,"La Have, 6 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
General Williams - 1870,1870-05-25,Wrecked,"La Have, 15 miles E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie James - 1926,1926-12-14,Burnt,"La Have, 14 miles off",,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic - 1881,1881-12-08,Burnt,"La Have River, off mouth",,,,,,,,,,,,,,,,,,,,,,,,,,
Adria - 1895,1895-10-28,Capsized,"La Have River, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Caroline - 1884,1884-10-08,Stranded,La Have River,,,,,,,,,,,,,,,,,,,,,,,,,,
Gypsum Empress - 1907,1907-01-29,Stranded,La Have River,,,,,,,,,,,,,,,,,,,,,,,,,,
Eolus - 1859,1859-12-21,Wrecked,La Have Ledges,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Standish - 1880,1880-08-17,Stranded,La Have Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,
Effort - 1888,1888-12-12,Stranded,La Have Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
W. H. Bignell - 1871,1871-12-18,Abandoned,La Have Banks,,,,,,,,,,,,,,,,,,,,,,,,,,
Cockawit Belle - 1950,1950-07-17,Wrecked,La Have Banks,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilma Rose Iii - 1967,1967-10-30,Foundered,La Have Bank,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother Ann - 1978,1978-07-01,Foundered,La Have Bank,,,,,,,,,,,,,,,,,,,,,,,,,,
Clissie Eldora - 1979,1979-06-24,Sank,La Have Bank,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcola - 1895,1895-11-01,Stranded,"L`Ardoise, inside breakwater",,,,,,,,,,,,,,,,,,,,,,,,,,
Ninth Of June - 1877,1877-05-07,Stranded,L`Ardoise Shoal,,,,,,,,,,,,,,,,,,,,,,,,,,
Amelia - 1883,1883-08-30,Stranded,L`Ardoise Beach,,,,,,,,,,,,,,,,,,,,,,,,,,
Addie - 1896,1896-12-28,Foundered,L`Ardoise Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth - 1856,1856-04-01,Wrecked,L`Ardoise,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellen E. Burke - 1911,1911-07-16,Stranded,L`Ardoise,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Thorburn - 1924,1924-08-27,Stranded,L`Ardoise,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie D. - 1907,1907-05-14,Stranded,L`Adroise Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Macdonald - 1924,1924-08-27,Stranded,"Kitty Witty Shoals, near Prospect",,,,,,,,,,,,,,,,,,,,,,,,,,
Linda - 1891,1891-01-01,Foundered,"Kingsport, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Hornet - 1909,1909-01-06,Stranded,"Kingsport, Minas Basin, at pier",,,,,,,,,,,,,,,,,,,,,,,,,,
Frank & Willie - 1888,1888-03-10,Damaged,Kingsport Wharf,,,,,,,,,,,,,,,,,,,,,,,,,,
R. N. B. - 1907,1907-10-15,Stranded,"Kingsport Beach, Minas Basin",,,,,,,,,,,,,,,,,,,,,,,,,,
F. B. G. - 1954,1954-09-09,Wrecked,Kingsport Beach,,,,,,,,,,,,,,,,,,,,,,,,,,
J. T. Chandler - 1876,1876-01-01,Damage to ships bottom,Kingsport,,,,,,,,,,,,,,,,,,,,,,,,,,
May - 1897,1897-03-06,Stranded,Kingsbury Reef,,,,,,,,,,,,,,,,,,,,,,,,,,
Morning Light - 1900,1900-09-01,Stranded,Kings Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Farragut - 1893,1893-08-21,Stranded,"Kindricks Island, Shag Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
A. W. Perry - 1909,1909-02-23,Stranded,Key West,,,,,,,,,,,,,,,,,,,,,,,,,,
S. G. Morton - 1887,1887-04-13,Stranded,Key Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Odysseus - 1945,1945-01-17,Stranded,"Ketch Harbour, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Sonja Maersk - 1942,1942-06-05,Stranded,"Ketch Harbour, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah - 1875,1875-05-17,Stranded,Ketch Harbour Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary - 1876,1876-04-28,Stranded,"Ketch Harbour Bar, west side of",,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah E. Snow - 1880,1880-06-10,Stranded,Ketch Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Bessie - 1889,1889-07-20,Wrecked,Ketch Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
N. H. Upham - 1892,1892-01-01,Stranded,"Kempt Shore, Minas Basin",,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Cruachan - 1910,1910-05-31,Stranded,Kelty Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiteway - 1928,1928-08-30,Foundered,"Kellys Cove, Yarmouth",,,,,,,,,,,,,,,,,,,,,,,,,,
Sally - 1824,1824-01-01,Wrecked,Kelly Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah - 1836,1836-09-01,Stranded,Kelleys Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Vandala - 1936,1936-10-30,Foundered,"Kelley Shoal, 4 miles from Cape St. George, Bras d`Or Lake",,,,,,,,,,,,,,,,,,,,,,,,,,
General Middleton - 1894,1894-09-20,Stranded,Keeleys Shoal (CB),,,,,,,,,,,,,,,,,,,,,,,,,,
Blanche - 1907,1907-04-08,Stranded,"Kalbacks Head, Lunenburg Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Arch - 1880,1880-11-25,Stranded,Jumping Jack Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Hubert - 1877,1877-11-22,Stranded,"Judique Shoals, George Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Jessie Hoyt - 1877,1877-12-20,Stranded,Josephs Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Startled Fawn - 1871,1871-10-01,Stranded,Jordan River,,,,,,,,,,,,,,,,,,,,,,,,,,
Scow No. 183 - 1957,1957-06-06,Grounded,"Jordan Bay, Lat. 43 26` N, Long. 65 16`W",,,,,,,,,,,,,,,,,,,,,,,,,,
Priscilla Smith - 1915,1915-02-01,Stranded,"Jordan Bay, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Angus Grant - 1879,1879-05-30,Stranded,Jordan Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence - 1884,1884-01-09,Stranded,Jordan Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpheta - 1885,1885-09-23,Stranded,Jordan Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
M. & A. Morrison - 1886,1886-08-23,Stranded,Jordan Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Edith M. - 1955,1955-04-10,Stranded,Jordan Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Oysterbed Lass - 1875,1875-12-27,Stranded,"Jones Harbour, Port Hebert, between",,,,,,,,,,,,,,,,,,,,,,,,,,
Rise And Shine - 1952,1952-04-26,Wrecked,Jones Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Stella Maris - 1871,1871-04-15,Stranded,Joli Point,,,,,,,,,,,,,,,,,,,,,,,,,,
George Walker - 1874,1874-07-08,Stranded,"Johns Island, Tusket Islands",,,,,,,,,,,,,,,,,,,,,,,,,,
Francis - 1875,1875-05-20,Stranded,"Johns Island, Tusket",,,,,,,,,,,,,,,,,,,,,,,,,,
Angeline - 1890,1890-07-26,Stranded,"Johns Island Ledge, Lobster Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Donald & Joyce - 1952,1952-05-01,Collision,Johns Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Zebulon - 1862,1862-12-21,Stranded,"Johns Cove, Yarmouth, on rock off",,,,,,,,,,,,,,,,,,,,,,,,,,
Annie E. Lane - 1874,1874-04-19,Stranded,"Johns Cove, Yarmouth",,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas F. Bayard - 1891,1891-12-17,Wrecked,"Johns Cove, entrance to Yarmouth Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Harriet - 1882,1882-12-13,Stranded,John Island Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva - 1870,1870-10-24,Stranded,"Joggins, near Louis Cove",,,,,,,,,,,,,,,,,,,,,,,,,,
Argo - 1883,1883-09-07,Stranded,Joggin Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliza Jane - 1877,1877-01-23,Stranded,"Jig Rock, Shelburne Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Mckenzie - 1880,1880-10-07,Stranded,Jerseyman Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Demara - 1905,1905-02-08,Wrecked,"Jeddore, reeef 5 miles off",,,,,,,,,,,,,,,,,,,,,,,,,,
Flag Of Truce - 1877,1877-12-13,Stranded,"Jeddore, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver A. O`mullin - 1889,1889-03-26,Foundered,"Jeddore, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Fernot - 1891,1891-09-08,Foundered,"Jeddore, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Georgina - 1891,1891-11-13,Wrecked,"Jeddore, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Carl S. - 1917,1917-05-02,Stranded,Jeddore Rock,,,,,,,,,,,,,,,,,,,,,,,,,,
Accumulator - 1847,1847-01-01,Wrecked,Jeddore Ledges,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwin - 1879,1879-04-18,Wrecked,Jeddore Ledges,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Goodwin - 1879,1879-08-25,Stranded,Jeddore Ledges,,,,,,,,,,,,,,,,,,,,,,,,,,
Juvenile - 1879,1879-10-09,Stranded,Jeddore Ledges,,,,,,,,,,,,,,,,,,,,,,,,,,
Arch Duke Charles - 1816,1816-06-28,Stranded,"Jeddore Ledge, near Green Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Rebecca C - 1980,1980-09-28,Wrecked,"Jeddore Head, near",,,,,,,,,,,,,,,,,,,,,,,,,,
M. A. Starr - 1875,1875-07-05,Stranded,"Jeddore Head, 7 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret R. M. - 1970,1970-08-15,Grounded,Jeddore Head,,,,,,,,,,,,,,,,,,,,,,,,,,
F. P. T. - 1896,1896-01-01,Wrecked,"Jeddore Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Alice - 1919,1919-11-04,Stranded,"Jeddore Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret Ann - 1883,1883-11-06,Stranded,Jeddore Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel - 1871,1871-01-01,Stranded,Jeddore,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert - 1883,1883-12-22,Stranded,Jeddore,,,,,,,,,,,,,,,,,,,,,,,,,,
Julia Ann W. - 1884,1884-12-14,Wrecked,Jeddore,,,,,,,,,,,,,,,,,,,,,,,,,,
Alert - 1885,1885-12-22,Wrecked,Jeddore,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Haakon - 1901,1901-01-01,Stranded,"Janvrin Shoal, Strait of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
G. H. B. - 1900,1900-10-20,Stranded,"Janvrin Island, Chedabucto Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Helena - 1889,1889-03-21,Stranded,"Jacobs Rock, Bear Cove",,,,,,,,,,,,,,,,,,,,,,,,,,
Emma B. - 1879,1879-08-01,Stranded,Jacksons Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence Abbott - 1899,1899-01-06,Stranded,"Isle Madame, W end of",,,,,,,,,,,,,,,,,,,,,,,,,,
Bedeque - 1919,1919-01-01,Foundered,"Isle Madame, SW shore",,,,,,,,,,,,,,,,,,,,,,,,,,
Richard & Mary - 1758,1758-01-01,Stranded,"Isle Madame, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Oder - 1873,1873-10-25,Stranded,Isle Madame,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Carcand - 1878,1878-11-13,Stranded,Isle Madame,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcand - 1878,1878-11-13,Wrecked,Isle Madame,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbert - 1885,1885-12-12,Stranded,Isle Madame,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiber - 1887,1887-04-28,Stranded,Isle Madame,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret H. M. - 1958,1958-11-19,Stranded,"Isle Madam South, Cap de la Ronde Lt",,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside - 1888,1888-01-26,Stranded,"Isle Haute, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Lima - 1890,1890-10-20,Stranded,"Isle Haute, Minas Channel, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
T. W. Mckay - 1898,1898-03-23,Foundered,"Isle Haute, Bay of Fundy, 10 miles W of",,,,,,,,,,,,,,,,,,,,,,,,,,
A. Elliott - 1890,1890-11-13,Stranded,"Isle Haute, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Gleaner - 1899,1899-03-29,Foundered,"Isle Haute, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Hattie Mckay - 1900,1900-07-26,Stranded,"Isle Haute, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
unknown - 1786,1786-09-01,Ashore,Isle Haute,,,,,,,,,,,,,,,,,,,,,,,,,,
Isabella - 1883,1883-07-15,Stranded,Isle Basque,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedella - 1936,1936-12-29,Wrecked,"Island Point, Bras d`Or Lake, 200 yds. NE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Norn - 1872,1872-09-13,Stranded,"Island Harbour, S side of",,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Clipper - 1879,1879-10-29,Stranded,Island Harbour Beach,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Ii - 1934,1934-09-19,Foundered,"Isaac`s Harbour, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Princess Beatrice - 1890,1890-09-16,Stranded,"Isaac`s Harbour, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Wedge - 1862,1862-08-23,Wrecked,Isaac`s Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Renfrew - 1873,1873-08-21,Stranded,Isaac`s Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Lord Bury - 1873,1873-08-24,Stranded,Isaac`s Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Finchley - 1884,1884-09-29,Stranded,Isaac`s Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvest Home - 1897,1897-01-01,Grounded,Isaac`s Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthena Marie - 1930,1930-03-06,Wrecked,"Ironbound Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Green Leaf - 1881,1881-03-05,Stranded,Ironbound Island (West ?),,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter - 1820,1820-01-01,Wrecked,Ironbound Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Lord Of The Isles - 1872,1872-12-26,Stranded,Ironbound Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Regina - 1886,1886-08-08,Stranded,Ironbound Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean E. Crowell - 1923,1923-12-03,Foundered,"Iron Bound Island, 3 miles ESE from",,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine Adamson - 1857,1857-01-01,Stranded,"Inner North Head, Sydney Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Daylight - 1916,1916-12-16,Stranded,Inhabitants Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Societe - 1731,1731-09-03,Stranded,"Ingonish, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Cezard - 1732,1732-07-14,Burnt,"Ingonish, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 1909,1909-07-01,Abandoned,"Ingonish, 50 miles NE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Marina - 1911,1911-12-07,Stranded,Hemlock Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidonna - 1958,1958-07-22,Wrecked,"Ingonish, 12 miles W of, Lat. 46 40` N, Long. 61 10`W",,,,,,,,,,,,,,,,,,,,,,,,,,
Erdine Mae - 1963,1963-05-13,Wrecked,"Ingonish Island, 12 miles ExS of, Loran 1 H 1 - 1850",,,,,,,,,,,,,,,,,,,,,,,,,,
Kathleen & Joyce - 1933,1933-01-16,Wrecked,Ingonish Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Brilliant Star - 1905,1905-11-26,Stranded,"Ingonish Harbour, south side of",,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Newton - 1880,1880-02-01,Stranded,"Ingonish Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Swift Current - 1888,1888-12-03,Stranded,"Ingonish Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Winnie L. - 1895,1895-10-02,Stranded,"Ingonish Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Grenoble - 1888,1888-03-18,Stranded,Ingonish Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarice Andrews - 1943,1943-11-16,Stranded,Ingonish Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Helen Lerner - 1948,1948-07-28,Wrecked,Ingonish Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Betty M. S. - 1944,1944-12-28,Sank,Ingonish fishing grounds,,,,,,,,,,,,,,,,,,,,,,,,,,
T. J. N. S. - 1961,1961-06-05,Wrecked,Ingonish Beach,,,,,,,,,,,,,,,,,,,,,,,,,,
Lily M. K. - 1948,1948-05-27,Foundered,"Ingonish Bay, south side of",,,,,,,,,,,,,,,,,,,,,,,,,,
Revanche - 1732,1732-10-04,Wrecked,Ingonish,,,,,,,,,,,,,,,,,,,,,,,,,,
HMS St. Lawrence - 1766,1766-06-26,Sank,Ingonish,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramleh - 1894,1894-05-06,Grounded,Ingonish,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary F. Fleming - 1915,1915-12-01,Stranded,Ingonish,,,,,,,,,,,,,,,,,,,,,,,,,,
Original - 1915,1915-12-04,Stranded,Ingonish,,,,,,,,,,,,,,,,,,,,,,,,,,
Reliance - 1902,1902-03-02,Stranded,"Indian Point, Little Harbour, 10 miles from Lockeport",,,,,,,,,,,,,,,,,,,,,,,,,,
O. K. - 1879,1879-12-20,Stranded,Indian Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Diadem - 1894,1894-06-19,Stranded,"Indian Island, off La Have Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy Lois - 1952,1952-10-09,Wrecked,"Indian Island, 2 miles E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Lake George - 1922,1922-09-16,Stranded,Indian Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochedale - 1881,1881-12-14,Stranded,Indian Harbour Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
James - 1887,1887-10-20,Stranded,Indian Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Merritt - 1868,1868-09-24,Collision,Indian Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Child - 1881,1881-01-01,Wrecked,Indian Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial - 1876,1876-01-07,Stranded,Indian Brook,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha - 1904,1904-09-14,Stranded,Indian Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrie - 1888,1888-07-11,Stranded,Hurricane Ledge Isle,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline - 1870,1870-01-01,Wrecked,Hunts Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Nellie Louise - 1918,1918-07-13,Stranded,Hunts Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola - 1906,1906-07-10,Stranded,Howick Point,,,,,,,,,,,,,,,,,,,,,,,,,,
R. B. Bennett - 1942,1942-05-05,Stranded,"Howe Point, Scatarie Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Seneff - 1955,1955-11-26,Wrecked,"Howe Point, about 3 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Beatrtice S. Mack - 1910,1910-04-06,Stranded,"Hounds Ledge, near Cross Island",,,,,,,,,,,,,,,,,,,,,,,,,,
