Vessel Name,Date of Wreck,Event,Location of wreck,Tonnage,Length (FT),Breadth (FT),depth (ft),Masts,Decks,Hull,Description,Story,Vessel Type,Type of event,Nature of Event,Cause of Event,Cargo,Lives Lost,Voyage from,Voyage To,Remarks,Built At,Date Built,Official Number,Registered at,Date Registered,Propulsion,Rig,Details
Fannie Stewart - 1861,1861-01-01,Wrecked,"White Point, near Liverpool",,,,,,,,,,,,,,,,,,,,,,,,,,
Basutoland - 1907,1907-11-13,Stranded,"White Point, Canso Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Bessie Morris - 1889,1889-06-03,Stranded,"White Point, Aspy Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Marie Anne - 1900,1900-09-01,Stranded,"White Point, Aspy Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Wallie G. - 1943,1943-10-07,Foundered,"White Point, about 6 miles from Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Arthena - 1932,1932-03-17,Foundered,"White Point, 4 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Blaamanden - 1903,1903-05-02,Stranded,"White Point Ledges, 7.25 miles E of White Pt. Harbour Light",,,,,,,,,,,,,,,,,,,,,,,,,,
Mayone Parker - 1941,1941-07-28,Stranded,White Point Beach,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily - 1824,1824-01-01,Wrecked,White Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylph - 1873,1873-04-26,Stranded,White Point,,,,,,,,,,,,,,,,,,,,,,,,,,
C. W. Gwinn - 1880,1880-12-22,Stranded,White Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Lily Of Clyde - 1888,1888-10-01,Stranded,White Point,,,,,,,,,,,,,,,,,,,,,,,,,,
River Queen - 1891,1891-12-02,Wrecked,White Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma May - 1895,1895-08-07,Stranded,White Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulnare - 1896,1896-08-02,Wrecked,White Point,,,,,,,,,,,,,,,,,,,,,,,,,,
P. F. No. 2 - 1909,1909-05-25,Stranded,White Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry M. Chamberlain - 1937,1937-11-14,Stranded,White Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildomino - 1920,1920-07-24,Stranded,"White Island, off Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Eugenie - 1861,1861-10-29,Wrecked,"White Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Henrietta - 1872,1872-10-20,Collision,"White Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Agnes Raymond - 1875,1875-01-07,Stranded,"White Island, East Dover, near Prospect",,,,,,,,,,,,,,,,,,,,,,,,,,
Sultana - 1870,1870-06-02,Stranded,White Island Reef,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendower - 1882,1882-09-09,Stranded,White Island Reef,,,,,,,,,,,,,,,,,,,,,,,,,,
Henrietta - 1871,1871-07-20,Collision,White Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Hutchison - 1884,1884-05-16,Stranded,White Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbo - 1892,1892-01-01,Stranded,White Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Trojan - 1895,1895-10-18,Stranded,"White Head, Plaster Rocks, near Cheverie",,,,,,,,,,,,,,,,,,,,,,,,,,
Ada Mildred - 1908,1908-01-20,Stranded,"White Head, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Iona W. - 1913,1913-12-07,Missing,"White Head, last seen off",,,,,,,,,,,,,,,,,,,,,,,,,,
Napier - 1873,1873-08-24,Foundered,"White Head, 8 or 10 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Quickstep - 1891,1891-10-18,Foundered,"White Head, 5 miles W of light",,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Key - 1890,1890-11-06,Stranded,"White Head, 150 yards SSW from Light",,,,,,,,,,,,,,,,,,,,,,,,,,
Prarie Bird - 1876,1876-05-30,Foundered,"White Head, 12 miles S of light",,,,,,,,,,,,,,,,,,,,,,,,,,
Parisian - 1898,1898-12-16,Stranded,"White Head Light, 300 yds. from",,,,,,,,,,,,,,,,,,,,,,,,,,
General Gordon - 1887,1887-12-24,Stranded,"White Head Harbour, E side of",,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph P. Masquita - 1917,1917-12-10,Stranded,White Head Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Arleux - 1948,1948-08-19,Foundered,"White Head Bay, off Canso, 15 miles from",,,,,,,,,,,,,,,,,,,,,,,,,,
Connubia - 1870,1870-05-31,Stranded,White Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Beulah - 1886,1886-05-05,Stranded,White Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeanne D`arc - 1889,1889-07-15,Stranded,White Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohocasfield - 1912,1912-04-08,Stranded,White Head,,,,,,,,,,,,,,,,,,,,,,,,,,
