shipsName,shipsOwner,yearBuilt,vesselType,dateLost,year,month,day,latitude,longitude,locationLost,causeOfLoss,departurePort,destinationPort
John S Smith,,1872,Tug steam,4/28/1877,1877.0,4,28,,,Scotland Lightship,"Collision w/ pilot boat ""Mary E Fish #4""",,
John Sherwood,Henry R Eyre,1863,Brig,10/27/1886,1886.0,10,27,,,Chadwick SE .5 mi,Stranded,"Bath, ME","Philadelphia, PA"
John Silliman,,,Schooner,10/20/1859,1859.0,10,20,39.20713,-74.64427,Corsons Inlet,Stranded,"Baltimore, MD","New York, NY"
John Stradley,,,Schooner,3/25/1875,1875.0,3,25,,,Cape May Steamboat Landing,Foundered,,
John T Long,,1864,Schooner,12/7/1886,1886.0,12,7,40.39610,-73.96237,Seabright LSS N 1.25 mi,Stranded,"Long Island, NY","Rockaway, NY"
John T Neary,,,Schooner,11/29/1813,1813.0,11,29,,,Deal Beach,Driven ashore by British Cruiser,,
John Taylor,Porpoise Fishing Co,,Steamship,11/5/1884,1884.0,11,5,38.94962,-74.96988,Cape May LSS NW 1.5 mi,Grounded in gale,,Fishing service
John Thompson,,,Schooner,8/3/1868,1868.0,8,3,39.02514,-74.78728,Hereford Inlet,Stranded,"Portland, ME","Philadelphia, PA"
John W Broomall,,,Schooner,5/2/1900,1900.0,5,2,,,East Rockaway Bay Debbs Inlet,Stranded,"Bridgeport, CT","East Rockaway, NY"
John W Fox (1885),,1881,Schooner,10/4/1885,1885.0,10,4,,,Great Egg Harbor,Dismasted in storm,"Milton, DE","New York, NY"
John W Fox (1886),,1881,Schooner,10/7/1886,1886.0,10,7,,,Absecon Inlet,Stranded,"New York, NY","Atlantic City, NJ"
John W Fox (1888),,1881,Schooner,5/14/1888,1888.0,5,14,,,Absecon Inlet,Stranded,"New York, NY","Atlantic City, NJ"
John W Fox (1893),,1881,Schooner,10/24/1893,1893.0,10,24,,,Absecon Inlet,Grounded,"New York, NY","Atlantic City, NJ"
John W Fox (1899),,1881,Schooner,10/1/1899,1899.0,10,1,,,Great Egg LSS WSW .75 mi,Stranded,"Haverstraw, NY","Longport, NJ"
John W Fox (1900),,1881,Schooner,6/29/1900,1900.0,6,29,,,Shark River NE 20 mi,Stranded,,
John W Garrett,,,Steamship,8/3/1918,1918.0,8,3,,,Delaware River,Collision w/ launch,,
John W Hall Jr,,1874,Schooner,12/3/1885,1885.0,12,3,,,Highlands of Navesink,Lost spars in squall,"St Augustine, FL","New York, NY"
John W Hunt,Cann et al,1860,Brig Half,4/16/1873,1873.0,4,16,,,Barnegat,Lost main boom in gale,"Matanzas, Cuba","New York, NY"
John W Linnel,,1890,Schooner,1/27/1896,1896.0,1,27,,,Avalon LSS E 1 mi,Stranded,"New Haven, CT","Philadelphia, PA"
John Willets,,,Schooner,1853,1853.0,,,,,Absecon beach,Stranded,"Baltimore, MD","Boston, MA"
John Winton,,,Schooner,12/1846,1846.0,12,,,,Squan Beach,Capsized,,
John Wurts,,,Schooner,9/12/1846,1846.0,9,12,,,Woodlands,Filled with water,,
Joker II,,1905,Motor vessel gas,4/27/1920,1920.0,4,27,,,Cape May,Foundered,,Fishing service
Jonathan Bourne,W C Thompson,1883,Schooner,5/12/1886,1886.0,5,12,,,Absecon,"Collision w/ ""Celina""","Salem, MA","Philadelphia, PA"
Jonathan Sawyer,B Frank Nealy,1886,Schooner 3 masted,3/19/1896,1896.0,3,19,,,Sandy Hook SE .75 mi,Stranded,"Macoris, WI","New York, NY"
Jonesport,Southern Transportation Co,1919,Barge,2/18/1937,1937.0,2,18,38.29250,-75.00000,,,,
Jordan (1878),,1868,Sloop,11/9/1878,1878.0,11,9,,,Corsons Inlet bar,Grounded,"James River, VA","Pleasantville, NJ"
Jordan (1887),,1868,Sloop,10/23/1887,1887.0,10,23,,,Barnegat Light,Grounded,"New York, NY","Great Egg Harbor, NJ"
Jordan (1898),,1868,Sloop,11/9/1898,1898.0,11,9,,,Great Egg  LSS WSW 2 mi,Stranded,"James River, VA","Pleasantville, NJ"
Jose E More,Waydell & Co,1875,Bark,12/6/1885,1885.0,12,6,,,Barnegat SE 8 mi,"Collision w/ ""Pomona""","Matanzas, Cuba","New York, NY"
Joseph Allen (1907),,1865,Schooner,9/27/1907,1907.0,9,27,,,Little Egg LSS SE .75 mi,Stranded,"James River, VA","New York, NY"
Joseph Allen (1910),,1865,Schooner,4/10/1910,1910.0,4,10,,,Little Egg Harbor LSS N 1 mi,Grounded,"Chincoteague, VA","West Creek, NJ"
Joseph and Franklin,,1874,Schooner,6/9/1881,1881.0,6,9,,,Hereford Inlet,"Collision w/ ""Pottsville""",,
Joseph Banigan,Robert Gillies,1840,Brig,3/24/1891,1891.0,3,24,40.28153,-73.98169,Long Branch LSS N .25 mi,Stranded in fog,"Jamaica, WI","Havre, France"
Joseph Crandall,,,Schooner,12/19/1865,1865.0,12,19,,,"Long Branch, NJ",Wrecked,"Georgetown, DC","New York, NY"
Joseph E Hooper,Eastern Transportation Co,1921,Schooner - Barge,11/15/1945,1945.0,11,15,38.46638,-74.98055,Fenwick Island SE 1.5 mi,,,
Joseph Eastburn (1825),,,Brig,6/1825,1825.0,6,,,,Cape May,Grounded in gale,,
Joseph Eastburn (1826),,,Brig,2/1826,1826.0,2,,,,Cape May,Lost anchors & cables,,
Joseph F Baker,C S Stillwell,1874,Schooner,12/31/1881,1881.0,12,31,,,Townsends Inlet South bar,Stranded,"New York, NY","Baltimore, MD"
Joseph F Loubat #16,New York Pilots,1880,Pilot schooner,4/25/1888,1888.0,4,25,,,Sandy Hook bar,"Collision w/ ""Santiago""","New York, NY","Nassau, Bahamas"
Joseph Fish,S Watts,1866,Ship,10/4/1877,1877.0,10,4,,,Sandy Hook E 70 mi,Damaged in gale,"New York, NY","Antwerp, Belgium"
Joseph Holmes (1867),,,Schooner,5/8/1867,1867.0,5,8,,,"Surf City, Great Swamp",Stranded,,
Joseph Holmes (1868),,1854,Schooner,3/1868,1868.0,3,,,,Squan Beach,Stranded,"James River, VA","New York, NY"
Joseph Huddle,,,Huddle,2/24/1873,1873.0,2,24,,,Pecks Beach,Stranded,"Baltimore, MD","Boston, MA"
Joseph J Pharo (1888),Joseph J Pharo,1867,Schooner 3 masted,2/28/1888,1888.0,2,28,,,Cape Henlopen E 6 mi,Lost anchors in storm,"Wilmington, DE",Virginia
Joseph J Pharo (1889),Joseph J Pharo,1867,Schooner 3 masted,7/31/1889,1889.0,7,31,,,Sandy Hook SE 16 mi,"Collision w/ ""Colunia""","James River, VA","New York, NY"
Joseph James,,,Schooner,1838 - 1878,1860.0,,,,,Squan Inlet S 9.5 mi,Stranded,,
Joseph L Bewley,,,Schooner,2/1867,1867.0,2,,,,Barnegat Inlet N,,,
Joseph Long,T R Lyman,1861,Schooner,3/15/1870,1870.0,3,15,,,Deal Beach,Stranded,"Kingston, Jamaica","New York, NY"
Joseph P Cake,,,Schooner,11/1/1878,1878.0,11,1,,,Hereford Light SW,Foundered,"New York, NY","Baltimore, MD"
Joseph Porter,Charles A Falkinburg,,Schooner,4/9/1889,1889.0,4,9,,,Absecon bar,Struck bar,"Camden, NJ","Atlantic City, NJ"
Joseph T Brenan,,1883,Motor vessel gas,1/19/1929,1929.0,1,19,,,,Burned,,
Joseph W Pharo,Couseque,1849,Schooner,1856,1856.0,,,38.92972,-74.91666,Cape May Beach,,,
Joseph W Webster,,,Schooner,4/10/1864,1864.0,4,10,,,Long Beach Island,Grounded,,
Joseph Weir,F M Pearson,1865,Bark,4/20/1871,1871.0,4,20,,,Long Beach Island,Leaking; Abandoned,"Matanzas, Cuba","New York, NY"
Josephine (1840),,,Schooner,5/9/1840,1840.0,5,9,38.95500,-74.85000,Two Mile Beach,,,
Josephine (1855),,,Schooner,1/1/1855,1855.0,1,1,,,Absecon Beach,Grounded,Tangier,"Boston, MA"
Josephine (1886),Joseph Middleton,1880,Schooner,8/3/1886,1886.0,8,3,,,Hereford Light,"Collision w/ ""A P Nowell""","Bath, ME","Philadelphia, PA"
Josephine (1898),N B Shoe,1880,Schooner,11/8/1898,1898.0,11,8,,,Absecon E,Damaged in storm,"Irvington, NY","Philadelphia, PA"
Josiah J Johnson,,,Pilot boat,3/6/1869,1869.0,3,6,,,,"Collision w/ ""Wanata""",,Pilot service
Josie R Burt,J H Church,1882,Schooner,8/30/1911,1911.0,8,30,39.53661,-74.25481,Bonds LSS NE 25 mi,Foundered,"Baltimore, MD","Belfast, Ireland"
Judge Baker (1851),,1845,Schooner,11/14/1851,1851.0,11,14,,,Barnegat,Capsized,,
Judge Baker (1855),,1845,Schooner,10/21/1855,1855.0,10,21,40.08726,-74.03626,Squan Inlet S 1 mi,Foundered,,
Judge Hitchcock,,,Schooner,10/18/1846,1846.0,10,18,,,Long Beach Island,Grounded,"Charleston, SC","Alexandria, VA"
Juiniata,George W Shepherd Jr,1860,Schooner 3 masted,2/17/1902,1902.0,2,17,,,Sandy Hook,Foundered in snow storm,"Newport News, VA","Providence, RI"
Julia (1841),,,Bark,3/16/1841,1841.0,3,16,,,"Point Pleasant, NJ",Grounded,"Mobile, AL","New York, NY"
Julia (1870),,,Schooner,6/17/1870,1870.0,6,17,40.38059,-73.97409,Seabright LSS,Wrecked,"Baltimore, MD","Augusta, ME"
Julia (1882),Dickson,,Schooner,2/4/1882,1882.0,2,4,,,Barnegat Inlet,Grounded in storm,"New York, NY","Atlantic City, NJ"
Julia (1884),,,Brig,1884,1884.0,,,39.40139,-74.36453,Brigantine S 7th St,Stranded,,
Julia A Berkele,H W Benedict,1866,Schooner,5/3/1879,1879.0,5,3,,,Barnegat LSS ENE 1 mi,Stranded,"Saugerties, NY","Washington, DC"
Julia A Berkele,C Jennings & Co,1866,Schooner,4/25/1899,1899.0,4,25,,,Ocean City LSS E 1 mi,Stranded,"New York, NY","Norfolk, VA"
Julia A Crawford,,1864,Schooner,4/29/1884,1884.0,4,29,,,Tathams Beach,Stranded,"New York, NY","Philadelphia, PA"
Julia A Reid,,1879,Sloop,8/15/1881,1881.0,8,15,,,Absecon Inlet South bar,Stranded,,
Julia A Rider,,1864,Schooner,2/27/1874,1874.0,2,27,,,Five Fathoms Bank Lightship SE 30 mi,Leaking; Abandoned,"Woods Hole, MA","Richmond, VA"
Julia No 15,,,Pilot boat,10/11/1856,1856.0,10,11,,,Sandy Hook,"Collision w/ ""Anthony B Neilson""",,
Julia R Dempsey,,1904,Schooner,8/29/1913,1913.0,8,29,,,"Winter Quarter Lightship, NJ",Foundered,,
Julian Nelson,,1867,Schooner,12/18/1890,1890.0,12,18,,,Turtle Gut Inlet North bar,Stranded,"New Bedford, MA","Philadelphia, PA"
Julie,,,Schooner,2/25/1881,1881.0,2,25,,,Absecon LSS ENE .5 mi,Leaking badly,,
Julien,,1865,Schooner,11/3/1888,1888.0,11,3,,,Sandy Hook Romer Shoal,Stranded,"Compachie, Mexico","New York, NY"
Julius Caesar,,,Sailing ship,11/22/1833,1833.0,11,22,,,Barnegat Inlet S 5 mi,Stranded,"Newport, Wales","New York, NY"
Juniata,,1848,,9/26/1889,1889.0,9,26,,,"Penns Grove, NJ",Burned,,
Junius,,,Brig,12/1817,1817.0,12,,,,Cape May,Blown out to sea,St Salvador,
Juno (1802),,,Frigate,10/27/1802,1802.0,10,27,38.87472,-74.41666,Cape May E 20 mi,,,
Juno (1841),,,Schooner,3/14/1841,1841.0,3,14,,,Brigantine Beach East end,Stranded in gale,"Alexandria, VA","Boston, MA"
Juno (1916),,1888,Steamship,12/15/1916,1916.0,12,15,,,Little Egg Inlet,Stranded in snow storm,,
Jupiter (1769),,,Brig,12/20/1769,1769.0,12,20,,,Sandy Hook Horseshoe Cove,Stranded; sank,"New York, NY","Dublin, Ireland"
Jupiter (1783),,,Merchantman,9/19/1783,1783.0,9,19,,,Cape May,Lost in gale,"Jamaica, WI","New York, NY"
Jurgen Wilhelm,,,Brig,1/1857,1857.0,1,,,,Brigantine Shoal,Stranded,,
Just Us,Jocam Inc,1933,Yacht motor,10/9/1976,1976.0,10,9,,,Brigantine Beach E 2 mi,Foundered,,
K-64,U S Navy,,Blimp,10/16/1943,1943.0,10,16,,,Island Beach,"Collision w/ ""K-7"" in fog","Lakehurst, NJ",Patrol duty
Kaieteur,"Steel, Young & Co",1876,Bark steamer,9/18/1879,1879.0,9,18,,,Brigantine Shoal,Stranded,,
Kaiser Wilhem Der Grosse,North German Lloyd,1897,Passenger cargo ship,6/30/1900,1900.0,6,30,,,"Hoboken, NJ",Burned,,"New York, NY"
Kamikawa Maru,Kawasaki Kisen KK,1951,Freighter,6/10/1966,1966.0,6,10,,,Ambrose Lightship,"Collision w/ ""Nordvind""",,"New York, NY"
Kanised,,1909,Yacht,3/30/1922,1922.0,3,30,,,"Morris Heights, NJ",Burned,,
Karina T,Karina T Corp,1954,Fishing boat,3/8/1962,1962.0,3,8,,,Barnegat,Missing in gale,"Pt Pleasant, NJ",Fishing service
Karlanna,,1906,Steamship,1/19/1920,1920.0,1,19,,,Cold Spring Inlet,Stranded,,
Karnak,,1896,Sailboat,11/1/1966,1966.0,11,1,,,Surf City 12th Street,Grounded,,
Katahdin,,1864,Brig,10/16/1894,1894.0,10,16,,,Cape May Prissy Wicks Shoal,Stranded,"Bangor, ME","Philadelphia, PA"
Kate,,,Sloop,2/19/1879,1879.0,2,19,,,Loveladies,Stranded,,
Kate Becker,,1875,Sloop,12/15/1883,1883.0,12,15,,,Absecon Inlet North shoal,Stranded,"New York, NY","Absecon, NJ"
Kate Brigham,Thomas Dunham & Co,1853,Schooner,12/20/1864,1864.0,12,20,,,"Highlands, Wardells Beach S 1 mi",Grounded,"New Orleans, LA","New York, NY"
Kate Dyer,J W Dyer,1855,Ship,12/1/1866,1866.0,12,1,,,Fire Island S 10 mi,"Collision w/ ""Scotland""","Liverpool, England","New York, NY"
Kate E Gifford,R H Williams,1874,Schooner,12/28/1883,1883.0,12,28,,,Sandy Hook NW 1 mi,Stranded,"Baltimore, MD","Bridgeport, CT"
Kate E Morse,,,Schooner,9/11/1889,1889.0,9,11,,,Delaware Bay,Lost,,
Kate Foster,Simpson & Clapp,1866,Schooner,6/1891,1891.0,6,,39.40000,-73.08333,New Jersey coast,,,
Kate Kallahan,,1853,Schooner,5/20/1888,1888.0,5,20,,,Little Egg Harbor S 2 mi,Stranded,"Little Egg Harbor, NJ","Baltimore, MD"
Kate Lawson,,,Schooner,5/12/1874,1874.0,5,12,,,Sandy Hook,"Collision w/ ""Wyoming""",Virginia,"New York, NY"
Kate Markee,,1880,Schooner,4/12/1890,1890.0,4,12,40.40629,-73.97646,Spermaceti Cove LSS S 1.5 mi,Stranded,"Fall River, MA","Philadelphia, PA"
Kate Newman,,1874,Schooner,2/2/1880,1880.0,2,2,40.42500,-73.96666,Monmouth Beach E 2 mi,"Collision w/ ""Stephen Harding""","Baltimore, MD","Davenport, MA"
Kate Rommal,John W Adams et al,1872,Schooner,12/25/1875,1875.0,12,25,,,Sandy Hook W,Stranded,"Matanzas, Cuba","New York, NY"
Kate Smith,B. Hilton & Rogers,1864,Bark,1/26/1871,1871.0,1,26,,,Little Egg Harbor N 5 mi,Stranded,Spain,"New York, NY"
Katharine Jackson,,,Sailing ship,10/30/1848,1848.0,10,30,,,Squam Beach,Stranded,"Rotterdam, Netherlands","New York, NY"
Katherine & Mary,Abraham Yetman,1917,Scow,5/28/1955,1955.0,5,28,39.55981,-73.58123,NJ Coast E 35 mi,,,
Katherine Dempsey (1910),Dempsey & Sons,1909,Barge,4/7/1910,1910.0,4,7,,,Spring Lake,Waterlogged,"Suffolk, VA","New York, NY"
Katherine Dempsey (1917),Dempsey & Sons,1909,Barge,12/8/1917,1917.0,12,8,,,Beach Haven,Foundered in storm,"New York, NY","Baltimore, MD"
Kathleen,Standard Dredging ,,Motor vessel,2/21/1931,1931.0,2,21,,,Sea Isle City,Stranded,,
Kathleen W,,1895,Steamship,2/1/1911,1911.0,2,1,,,"Jersey City, NJ",Explosion,,
Katie,,,Catboat,10/5/1903,1903.0,10,5,,,Little Beach E .75 mi,Damaged; Abandoned,,
Katie C Rich,,,Schooner,3/29/1874,1874.0,3,29,39.41923,-74.33965,Brigantine Shoal,Grounded,,
Katie G Robinson,,1873,Schooner,7/10/1894,1894.0,7,10,39.35701,-74.40213,Absecon Inlet South bar,Stranded,"Kennebec, ME","Atlantic City, NJ"
Katie Louisa,,1884,Sloop,9/18/1903,1903.0,9,18,,,"Highlands, NJ",Foundered,,
Katie Ranger,,1866,Schooner,12/18/1887,1887.0,12,18,,,Absecon,Foundered,,
Katleen Riggin,William H Riggin,1929,Motor vessel,3/21/1971,1971.0,3,21,,,Wildwood SE 3 mi,Burned,,
Katrina,,,Bark,10/16/1912,1912.0,10,16,,,Long Beach Island,Burned,"Montevideo, SA",
Katy,,,,3/12/1778,1778.0,3,12,,,"New Castle, DE",Burned by Americans,,
Katy Did,,1876,Sloop,11/12/1884,1884.0,11,12,,,Barnegat Inlet North side,Stranded,"Seabright, NJ","Barnegat, NJ"
Katy Smith,,,Steamship,12/18/1878,1878.0,12,18,,,"Jersey City, NJ",Foundered,N Y Harbor,
Kehuka,,,Tanker,7/28/1920,1920.0,7,28,39.07333,-74.66500,Avalon E 3 mi,Exploded,,
Kelso,Harry H Taylor,1927,Motor vessel diesel,11/18/1968,1968.0,11,18,38.98472,-74.76916,Hereford Inlet,,,
Kennebec (1917),Seaboard Transportation Co,1883,Schooner - Barge,2/5/1917,1917.0,2,5,,,Sandy Hook E 20 mi,Foundered,"Norfolk, VA","Providence, RI"
Kennebec (1921),Chesbrough Bros,1901,Steamship,6/18/1921,1921.0,6,18,39.43333,-73.53747,Barnegat Light E 30 mi,Foundered,"New York, NY","Houston, TX"
Kenneth,Stanley,1862,Brig Half,10/29/1864,1864.0,10,29,,,Highlands SE 40 mi,"Collision w/ ""Amelia Priest""","Jacmel, Haiti","New York, NY"
Kenneth E Healing,,1927,Motor vessel diesel,5/19/1950,1950.0,5,19,,,South Amboy Coal Docks,Burned,,
Kenny Girls,,1903,Barge,5/31/1941,1941.0,5,31,,,"Jersey City, NJ",Burned,,
Kenosha,F B Cheseborough,1894,Steamship,7/24/1909,1909.0,7,24,,,Fire Island Inlet SE 10 mi,Foundered,"Baltimore, MD","Boston, MA"
Kent,,1839,Sidewheel steam ferry,11/25/1857,1857.0,11,25,,,"Gloucester Point, PA",Burned,,
Kentucky,"Welsh, Carver & Chase",1855,Brig,7/15/1863,1863.0,7,15,,,Sandy Hook,"Collision w/ ""China""","Cardenas, Mexico",
Kildare,,,,1768,1768.0,,,,,Delaware River above Ponce Creek,,Barbados,"Philadelphia, PA"
Kill Von Kull,,1858,Ferry boat,3/3/1889,1869.0,3,3,,,"Elizabethport, NJ",Burned,,
King,,,Schooner,12/1846,1846.0,12,,,,Egg Harbor,Capsized in gale,"New York, NY","Taunton, MA"
King Cobra,Cobra Marine Cont Co,1887,Tug,1/3/1979,1979.0,1,3,,,Atlantic City E,Lost at sea in storm,"Greenwich, CT","Camden, NJ"
King Philip,,1832,Sidewheel steam,11/16/1867,1867.0,11,16,,,"Jersey City, NJ",Burned,,
Kingston,,,Sloop,9/8/1767,1767.0,9,8,,,Cape May,Stranded,,
Kingston Ceylonite,,,,6/17/1942,1942.0,6,17,36.99416,-75.86916,,,,
Kirkland,Lynch,1850,Bark,9/29/1856,1856.0,9,29,,,Absecon Inlet,Stranded,"Rio de Janiero, Brazil","New Orleans, LA"
Kirkwood,,,Bark,2/22/1851,1851.0,2,22,39.40833,-74.35000,Brigantine,Grounded,South America,
Kit Carson,J & L N Paine,1860,Schooner,4/4/1883,1883.0,4,4,`,,Little Egg Harbor,"Collision w/ ""Manhattan""","Pawtuxet River, MD","Boston, MA"
Kitty Ann,,,Sloop,6/1825,1825.0,6,,,,Cape May S,Stranded in gale,,
Knickerbocker (1887),Samuel H Seaman,1873,Steamship,2/8/1887,1887.0,2,8,,,Scotland Lightship S 7 mi,"Collision w/ ""Leocadia""","New Orleans, LA","New York, NY"
Knickerbocker (1915),,1893,Schooner - Barge,10/19/1915,1915.0,10,19,,,Barnegat Inlet N,Foundered,,
Kolindi  II,,,Sloop,5/20/1972,1972.0,5,20,,,Brigantine,In distress,,
Komsomolets Kirgizii,,,,3/14/1987,1987.0,3,14,,,NJ Coast E 210 mi,Sank in heavy seas,"Halifax, NS",Cuba
Kong Carl,A & F Smith & Co,1871,Bark,3/30/1877,1877.0,3,30,,,Sandy Hook SE 20 mi,"Collision w/ ""Gazelle""","Liverpool, England","New York, NY"
Kong Thryme,,,Brig,1/1856,1856.0,1,,39.75858,-74.08149,Barnegat Inlet Shoal,Stranded,,
Kraljevica,V Turkovich,1870,Bark,2/10/1886,1886.0,2,10,,,Barnegat Shoal S,Wrecked,"Marseilles, France","New York, NY"
Kristine M,Martin Mortensen,1944,Trawler,11/25/1950,1950.0,11,25,39.15833,-74.36666,Atlantic City E 12 mi,Foundered in hurricane,,Fishing service
L A Plummer,,1882,Schooner,3/11/1915,1915.0,3,11,,,Little Egg Harbor shoal,Stranded,,
L and A Babcock (1880),L A Babcock,1866,Schooner,4/18/1880,1880.0,4,18,,,Townsends Inlet North bar,Stranded,"Gardiner, ME","Philadelphia, PA"
L and A Babcock (1884),L A Babcock,1866,Schooner,6/26/1884,1884.0,6,26,39.81826,-74.08826,Forked River LSS N 1 mi,Stranded,"Philadelphia, PA","Boston, MA"
L Baldwin,,,Brig,11/22/1851,1851.0,11,22,,,Brigantine Shoal,Stranded,"Savannah, GA","New York, NY"
L C Regina,,1916,Motor vessel gas,1/16/1920,1920.0,1,16,,,Bayonne,Burned,,
L C Wallace (1877),,,Sloop,11/18/1877,1877.0,11,18,,,Absecon bar,Stranded,"New York, NY","Absecon, NJ"
L C Wallace (1878),,,Sloop,3/3/1878,1878.0,3,3,,,Sandy Hook LSS  S 600 yds,Stranded,"Absecon, NJ","New York, NY"
L C Wallace (1882),,,Sloop,11/3/1882,1882.0,11,3,39.37086,-74.40332,Atlantic City LSS NE .75 mi,Stranded,"Absecon, NJ","New York, NY"
L H Nickerson,,,Schooner,1838 - 1878,1860.0,,,,,Squan Inlet S 6.5 mi,Stranded,,
L Herbert Taft,Elliot,1901,Schooner,12/19/1912,1912.0,12,19,,,Sandy Hook Romer Shoal,Stranded,"New York, NY","Havana, Cuba"
L N Lovell,,1846,Schooner,11/5/1877,1877.0,11,5,,,Egg Harbor NW 6 mi,"Collision w/ ""John Gibson""","Fall River, MA","Philadelphia, PA"
L Q C Wishart,,1867,Schooner,12/5/1910,1910.0,12,5,39.34369,-74.29659,Little Beach LSS SE 2.5 mi,Stranded,"James River, VA","New York, NY"
L S Knight,,,Schooner,8/29/1869,1869.0,8,29,,,Barnegat E 60 mi,Abandoned,"Philadelphia, PA","Salem, MA"
L S Levering,,,Schooner,11/24/1872,1872.0,11,24,,,Cape May Beach,Stranded,"Somerset, MA","Philadelphia, PA"
L T Whitmore,,1874,Schooner,3/26/1881,1881.0,3,26,,,Brigantine Shoal,Stranded in Nor'easter,"Alexandria, VA","New York, NY"
L-2,U S Navy,1940,Blimp,6/8/1942,1942.0,6,8,,,Manasquan Inlet SE 5.5 mi,"Collision w/ ""G-1""",,
La Fauvette,,,Bark,4/27/1849,1849.0,4,27,,,Squan Beach,Stranded,"Port-Vendres, France","New York, NY"
La France,Comp Gen Transatlantic,1865,Rigged steamer,2/25/1875,1875.0,2,25,,,Monmouth Beach N .5 mi,Grounded,"La Havre, France","New York, NY"
La Plata,,,Bark,2/13/1845,1845.0,2,13,,,Sandy Hook,Grounded in gale,,
La Tigre,,,Brig,1/11/1820,1820.0,1,11,,,Barnegat outer shoal,Stranded,"Cape May, NJ","New York, NY"
Lady Beatrice,Henry Acarefora Jr,1956,Yacht gas,10/5/1962,1962.0,10,5,,,Sandy Hook,Burned,,
Lady Betty,,1912,Motor vessel gas,8/25/1921,1921.0,8,25,,,"Tuckerton, NJ",Burned,,
Lady Ellen (1872),,,Schooner,12/23/1872,1872.0,12,23,39.29402,-74.53771,Great Egg Harbor,Stranded,,
Lady Ellen (1878),,1856,Schooner,11/1/1878,1878.0,11,1,,,Barnegat Shoal South point,Grounded,,
Lady Gertrude,Myklebust Ent,1979,Commercial fishing vessel,42597,2016.0,8,15,39.87333,-74.05833,Chicken Canyon Toms River E 54 mi,Broken shaft - Flooded,"Pt Pleasant Beach, NJ",Fishing
Lady Linda,,,Fishing boat,9/3/1993,1993.0,9,3,,,Brigantine E 15 mi,Flooded,,
Lady Mary,Smith & Smith Inc,1969,Scalloper,3/24/2009,2009.0,3,24,,,Cape May SE 65 mi,Flooded due to open hatches,"Cape May, NJ",Scallop fishing
Lady Napier,,1902,Brigantine,11/30/1907,1907.0,11,30,,,Sandy Hook point,Stranded,"Demerara, British Guiana","St John, NB"
Lady Octavia,G Adams Ltd,1854,Bark,11/8/1879,1879.0,11,8,,,Absecon,"Collision w/ ""Champion""",,
Lady Seymour,Shaw,1852,Brig,12/1856,1856.0,12,,,,Highlands E 40 mi,Leaking; In distress,"New York, NY","Halifax, NS"
Lake Frampton,,1918,Steamship,7/12/1920,1920.0,7,12,,,Atlantic City,"Collision w/ ""Comus""","New York, NY","Norfolk, VA"
Lake George,,,Sloop,10/25/1756,1756.0,10,25,,,Barnegat,Stranded,"New York, NY","Philadelphia, PA"
L'Amerique,General Transportation Co,1865,Steamship,1/7/1877,1877.0,1,7,,,"Seabright, NJ",Stranded,"La Havre, France","New York, NY"
Lamoriciere,,,Bark,5/6/1879,1879.0,5,6,,,Sandy Hook Lightship,Collision w/ Sandy Hook lightship,"New York, NY","Marseilles, France"
Lana Carol,Gulf Boat Marine,1973,Scalloper,10/31/1976,1976.0,10,31,39.99194,-73.87444,Manasquan E 10 mi,Foundered,"Manasquan, NJ",Fishing service
Lancet,,,Brig,5/4/1843,1843.0,5,4,,,Absecon Inlet South bar,Grounded,"Charleston, SC","New York, NY"
Landseer (1885),M Walen & Son,1875,Schooner,4/29/1885,1885.0,4,29,,,New Jersey coast,Damaged in gale,,Fishing service
Landseer (1907),,1874,Schooner - Barge,3/13/1907,1907.0,3,13,,,Absecon,Foundered,"Newport News, VA","Boston, MA"
Larnie B Shaw (1932),Larnie B Shaw,1899,Tug,2/15/1932,1932.0,2,15,,,Cape May Jetty,Foundered in gale,"Philadelphia, PA","New York, NY"
Larnie B Shaw (1939),Maurice B Shaw,1908,Barge,7/1/1939,1939.0,7,1,38.91500,-74.38333,Cape May Inlet E 22 mi,,,
Last Stand,Young Family Fisheries,1981,Scallop boat,4/28/2016,2016.0,4,28,38.87176,-74.81594,Cape May SE 6 mi,"Collision w/ ""Dean Reinauer""","Cape May, NJ",Fishing service
Laura Brigman,,1866,Schooner,6/19/1883,1883.0,6,19,,,Asbury Park,Stranded in fog,"Baltimore, MD","Fall River, MA"
Laura V,,1889,Sloop,3/28/1903,1903.0,3,28,,,Island Beach 3/4 mi SE Chadwick Sta,Stranded,"Little Egg Harbor, NJ","New York, NY"
Lauretta (1848),,,Brig,6/29/1848,1848.0,6,29,,,Absecon Beach,Stranded,"Cienfuegos, Cuba","New York, NY"
Lauretta (1856),,,Brig,1/4/1856,1856.0,1,4,,,Sandy Hook,Stranded; Leaking,"New York, NY","Aspinwall,PA"
Lavinia Campbell,,1883,Schooner 3 masted,9/3/1901,1901.0,9,3,,,Overfalls 14 foot Beach,Collision,"Boston, MA","Philadelphia, PA"
Lawrence (1779),,,Schooner,8/20/1779,1779.0,8,20,,,Absecon Beach,Stranded,,
Lawrence (1863),Ryder & Hardy,1860,Bark,3/20/1863,1863.0,3,20,39.25022,-74.60306,Pecks Beach,Wrecked,"Messina, Sicily","New York, NY"
