shipsName,shipsOwner,yearBuilt,vesselType,dateLost,year,month,day,latitude,longitude,locationLost,causeOfLoss,departurePort,destinationPort
Candi,Percival Llewellyn,,Ketch,11/22/1986,1986.0,11,22,,,Island Beach State Park,Grounded,"New York, NY",Trinidad
Canima,,1863,Steamship,1/18/1875,1875.0,1,18,,,"Highlands, NJ","Collision w/ ""Joseph G Bennett""",Bermuda,"New York, NY"
Canton (1817),,,Sloop,11/1817,1817.0,11,,,,Cape May,Grounded,"Fredericksburg, VA","New York, NY"
Canton (1841),,,Brig,9/15/1841,1841.0,9,15,,,Little Egg Harbor Inlet,Collision,"Philadelphia, PA","Boston, MA"
Cape Cod,Cape Steamship Co,1920,Tanker steam,3/31/1926,1926.0,3,31,,,Cape May Overfalls Lightship N 4 mi,"Collision w/ ""W M Irish""","Port Arthur, TX","Philadelphia, PA"
Cape Hatteras,Tide Runner Marine,1993,Recreational tow boat,41387,2013.0,4,23,39.28851,-74.53347,Great Egg Inlet; Ocean City E 1m,Foundered in storm,"Atlantic City, NJ","Somers Point, NJ"
Cape May (1935),Reading Railroad,1926,Ferry boat,12792,1935.0,2,8,39.95177,-75.13696,Philadelphia Harbor,"Collision w/ ""London Corporation""","Philadelphia, PA","Camden, NJ"
Cape May (1962),,,Pilot boat,10/6/1962,1962.0,10,6,38.80277,-75.09027,Cape Henlopen,,,
Caprice No 15 (1878),Sandy Hook Pilots,,Pilot boat,2/1/1878,1878.0,2,1,40 -00 -00 N,75-00-00 W,Barnegat,Foundered,"New York, NY",
Caprice No 15 (1890),,,Pilot boat,1/1890,1890.0,1,,,,Lower New York Bay,Stranded in snow storm,,
Capricorn,Joseph Lestz,,,7/21/1981,1981.0,7,21,,,Barnegat Inlet,Rammed Jetty,,"Atlantic City, NJ"
Capt Mathiasen,Mathiasen Transport Co,1919,Tug to yacht,2/1/1954,1954.0,2,1,,,Atlantic City,Boiler exploded,,
Capt O J Riggs,"Goose Creek Seafood, Inc",1982,Scallop boat,7/19/2009,2009.0,7,19,,,Barnegat Light E 20 mi,Engine fire; sank,"Jones Inlet, NY","Beaufort, NC"
Capt Smitty,,1912,Motor vessel,8/4/1956,1956.0,8,4,,,Lavallette E 1.25 mi,Stranded,,
Captain Joe,,,Pleasure boat,3/12/2008,2008.0,3,12,,,Pt Pleasant Beach E 30 mi,Foundered; sank,,Pt Pleasant Beach
Carabasset,,,Brig,2/1840,1840.0,2,,,,Highland Light N 1 mi,Grounded,"Havana, Cuba","Boston, MA"
Caravel,,1901,Yacht motor,10/19/1938,1938.0,10,19,,,Hereford Inlet,Stranded,,
